产品网址：http://www.lichiwei.com/product.php?id=12
产品结构：您现在的位置：首页->产品中心->锂电池管理芯片->多节锂电池保护芯片

|产品名称|产品型号|功能描述|
|----|----|----|
|多节锂电池保护芯片|无|无|

IC型号,电池串数,过充检测电压  V,过充恢复电压  V,过放检测电压  V,过放恢复电压  V,放电过流  V,充电过流,0V充电功能,温度保护,封装形式
LC2021-A,2,4.28,4.08,2.9,3.1,0.2,-0.1,Y,N,SOT23-6
LC2021-B,2,4.28,4.08,2.4,2.9,0.2,-0.1,Y,N,SOT23-6
LC2021-C,2,3.65,3.48,2.0,2.35,0.2,-0.1,Y,N,SOT23-6
LC2022-A,2,4.28,4.08,2.9,3.1,0.2,-0.1,Y,Y,SOP8
LC2022-B,2,4.28,4.08,2.9,3.1,0.2,-0.1,Y,Y,SOP8
LC2022-C,2,4.28,4.08,2.9,3.1,0.2,-0.1,Y,Y,SOP8
LC2031-A,3,4.25,4.05,2.7,3.0,0.1,-0.1,Y,N,SOP8
LC2031-B,3,4.25,4.05,2.5,3.0,0.1,-0.1,Y,N,SOP8
LC2031-C,3,3.65,3.48,2.32,2.58,0.1,-0.1,Y,N,SOP8
LC2032-A,3,4.25,4.05,2.7,3.0,0.2,-0.1,Y,Y,SOP16
LC2032-B,3,4.25,4.05,2.5,3.0,0.2,-0.1,Y,Y,SOP16
LC2032-C,3,3.65,3.48,2.32,2.58,0.2,-0.1,Y,Y,SOP16
LC2042-A,4,4.25,4.15,2.7,3.0,0.2,-0.1,Y,Y,SOP16
LC2042-B,4,4.25,4.15,2.5,3.0,0.2,-0.1,Y,Y,SOP16
LC2042-C,4,3.65,3.48,2.32,2.58,0.2,-0.1,Y,Y,SOP16
LC2052-A,5,4.25,4.15,2.7,3.0,0.2,-0.1,Y,Y,SOP16
LC2052-B,5,4.25,4.15,2.5,3.0,0.2,-0.1,Y,Y,SOP16
LC2052-C,5,3.65,3.48,2.32,2.58,0.2,-0.1,Y,Y,SOP16
