产品网址：http://www.lichiwei.com/product.php?id=17
产品结构：您现在的位置：首页->产品中心->MOS->MOS

|产品名称|产品型号|功能描述|
|----|----|----|
|MOS|无|无|

型  号,极  性,VDS,VGS,ID,RDS(on) Tye.,VGS(th),封  装
型  号,极  性,V,V,A,mΩ,V,封  装
LC8205,N+N,20,±12V,6.5,18.0,0.65,TSSOP-8
LC8205A,N+N,20,±12V,6.5,18.0,0.65,SOT23-6
LC8205AS,N+N,20,±12V,6.0,20.0,0.65,SOT23-6
LC2302S,N,20,±12V,2.5,46.0,0.65,SOT23
LC2302A,N,20,±12V,3.5,45.0,0.65,SOT23-3L
LC2300,N,20,±12V,4.0,21.5,0.60,SOT23
LC2300A,N,20,±12V,5.0,51.0,0.60,SOT23-3L
LC2312,N,20,±12V,5.5,19.0,0.65,SOT23
LC2301S,P,-20,±12V,-2.2,95.0,-0.65,SOT23
LC2301,P,-20,±12V,-3.5,48.0,-0.65,SOT23
LC2305,P,-20,±12V,-5.2,29.0,-0.65,SOT23
LC2305A,P,-20,±12V,-4.2,38.0,-0.65,SOT23-3L
LC3400B,N,30,±12V,5.8,24.0,0.90,SOT23
LC3400,N,30,±12V,5.3,23.5,1.10,SOT-23
LC3400A,N,30,±12V,5.8,24.0,0.90,SOT23-3L
LC3404B,N,30,±12V,6.0,18.0,1.40,SOT23
LC3404,N,30,±12V,5.3,22.5,1.50,SOT-23
LC3404A,N,30,±12V,6.0,18.0,1.50,SOT23-3L
LC3401,P,-30,±12V,-4.2,53.0,-0.83,SOT23
LC3401A,P,-30,±12V,-4.2,53.0,-0.83,SOT23-3L
LC3407,P,-30,±20V,-4.0,47.0,-1.50,SOT23
LC3407A,P,-30,±20V,-4.0,47.0,-4.50,SOT23-3L
LC50N030ATA,N,30,±20V,50.0,5.5,1.50,TO-252
LC80N030ATA,N,30,±20V,80.0,4.2,1.50,TO-252
LC80N030BTA,N,30,±20V,80.0,4.2,1.50,TO-252
LC80N030ADC,N,30,±20V,80.0,4.2,1.50,PFN5*6
LC90N030ATA,N,30,±20V,90.0,3.6,1.50,TO-252
LC100N030ATA,N,30,±20V,100.0,3.2,1.50,TO-252
LC120N030ATA,N,30,±20V,120.0,2.3,1.50,TO-252
LC140N030ADC,N,30,±20V,140.0,1.6,1.50,PDFN5*6
LC170N030ADC,N,30,±20V,170.0,1.3,1.50,PDFN5*6
LC4606,N+P,30/-30,±20V,5.5/-4.2,18.0/37.0,1.5/-1.5,SOP-8
LC4614,N+P,40/-40,±20V,8/-7,18.0/44.0,1.5/-1.5,SOP-8
LC55N040ADC,N,40,±20V,55.0,13.0,1.70,PDFN5*6
LC100N040BDC,N,40,±20V,100.0,3.8,1.50,PDFN5*6
LC150N040ADC,N,40,±20V,150.0,1.8,1.50,PDFN5*6
LC80N040ATA,N,40,±20V,80.0,5.6,1.50,TO-252
LC80N040BTA,N,40,±20V,80.0,5.4,1.60,TO-252
LC90N040BTA,N,40,±20V,90.0,3.7,1.60,TO-252
LC120N040BTB,N,40,±20V,120.0,4.3,2.00,TO-220
LC60N040ADC,N,45,±20V,60.0,6.7,1.50,PDFN5*6
LC3N060A,N,60,±20V,3.0,85.0,1.30,SOT23
LC30N060ATA,N,60,±20V,30.0,28.0,2.00,TO-252
LC50N060ATA,N,60,±20V,50.0,12.0,1.70,TO-252
LC50NN060A,N+N,60,±20V,50.0,15.0,1.70,SOP-8
LC70N060ADC,N,60,±20V,70.0,8.0,3.00,PFN5*6
LC120N080ATD,N,85,±20V,120.0,4.2,3.00,TO-263
LC120N080ATB,N,85,±20V,120.0,4.2,3.00,TO-220
LC120N080BTD,N,85,±20V,120.0,5.3,3.00,TO-263
LC120N080BTB,N,85,±20V,120.0,5.3,3.00,TO-220
LC140N080ATD,N,85,±20V,140.0,3.0,3.00,TO-263
LC140N080ATB,N,85,±20V,140.0,3.0,3.00,TO-220
LC200N080ATD,N,85,±20V,200.0,2.3,3.00,TO-263
LC200N080ATB,N,85,±20V,200.0,2.3,3.00,TO-220
LC15N100ATA,N,100,±20V,15.0,70.0,3.00,TO-252
LC120N100ATD,N,100,±20V,120.0,3.8,3.00,TO-263
LC120N100ATB,N,100,±20V,120.0,3.8,3.00,TO-220
LC120N100BTD,N,100,±20V,120.0,6.2,3.00,TO-263
LC120N100BTB,N,100,±20V,120.0,6.2,3.00,TO-220
LC55N100ADC,N,100,±20V,55.0,9.5,2.00,PDFN5*6
LC135N100LDC,N,100,±20V,135.0,4.7,2.00,PDFN5*6
LC185N100ATD,N,100,±20V,185.0,2.5,3.00,TO-263
LC185N100ATB,N,100,±20V,185.0,2.5,3.00,TO-220
LC5N500ATA,N,500,±30V,5.0,1600.0,3.20,TO-252
LC2N650ATA,N,650,±30V,2.0,4200.0,3.00,TO-252
LC4N650ATA,N,650,±30V,4.0,2400.0,3.00,TO-252
LC65R650,N,650,±30V,8.0,650.0,3.30,TO-252
LC65R950ATA,N,650,±30V,4.0,950.0,3.30,TO-252
