产品网址：https://www.chipown.com.cn/cn/rmpro/172.html
产品结构：您目前所在位置：首页->产品->热门产品

|产品名称|产品型号|功能描述|
|--|--|--|
|二十款充电器&适配器电源经典芯片及方案|无|无|
|十八款工业电源经典芯片及方案|无|无|
|十二款智能家电电源经典芯片及方案|无|无|

应用领域,典型方案,输出,工作方式,功率,初级IC型号,封装,次级IC型号,封装.1,协议控制  IC型号,封装.2,Unnamed: 11
快速充电器,DER-8161-18-P040,5V3A  9V2.22A  12V1.67A,SSR+QR,20W,PN8161(G),SOP8,PN8307H,SOP8,AP5811,SOP8/PP,我要  咨询
快速充电器,DER-8165-22-P001,5V3A  9V3A  12V2.5A  15V2A  20V1.5A,SSR+QR,30W,PN8165(A),SOP8,PN8307H,SOP8,AP5811,SOP8/PP,我要  咨询
快速充电器,DER-8782-24-P003,5V3A  9V3A  12V2.5A  15V2A  20V1.5A,SSR+QR,30W(GaN),PN8782(A),SOP7/PP,PN8307P,SOP8,AP5811,SOP8/PP,我要  咨询
快速充电器,DER-8783-24-P005,5V3A  9V3A  15V3A  20V2.25A,SSR+QR,45W(GaN),PN8783(B),SOP10/PP,PN8307P,SOP8,AP5811,SOP8/PP,我要  咨询
快速充电器,DER-8783-22-P014,5V3A  9V3A  15V3A  20V3.25A,SSR+QR,65W(GaN),PN8783(A),SOP10/PP,PN8307P,SOP8,AP5811,SOP8/PP,我要  咨询
快速充电器,DER-8212-22-P015,5V2A  10V4A  20V3.3A,SSR+QR,66W,PN8212L,SOP7,PN8601,SOT23-6,AP5814,SOP8/PP,我要  咨询
快速充电器,DER-8213-22-P016,5V3A  9V3A  12V3A  15V3A  20V5A,PFC+SSR,100W(GaN),PN8213,SSOP10,PN8601,SOT23-6,AP5806,QFNWB4*4-24L,我要  咨询
快速充电器,DER-8215-23-P016,5V3A  9V3A  12V3A  15V3A  20V5A  28V5A,Adaptive PWM,140W(GaN),PN8215,SSOP10,PN8601,SOT23-6,AP5806,QFNWB4*4-24L,我要  咨询


应用领域,典型方案,输出,工作方式,功率,IC型号,封装,内置  MOS,高压  启动,有无  光耦,典型效率,Unnamed: 11
适配器,DER-8575M-20-P013,12V0.5A,PSR,6W,PN8575M,SOP8,N,N,N,六级,我要  咨询
适配器,DER-8575P-20-P014,12V1A,PSR,12W,PN8575P,SOP8,N,N,N,六级,我要  咨询
适配器,DER-8611-19-P019,12V1A,PSR,12W,PN8611,SOP8,Y,Y,N,六级,我要  咨询
适配器,DER-8390M-20-P019,12V1.5A,PSR,18W,PN8390M,DIP8/SOP8,Y,N,N,六级,我要  咨询
适配器,DER-8308H-18-P014,12V3A,SSR,36W,PN8308H,SOP8,Y,Y,Y,六级,我要  咨询
适配器,DER-8270-20-P016,12V/5A,SSR,60W,AP8270,SOT23-6,N,N,Y,六级,我要  咨询


应用领域,典型方案,输入电压,功率,IC型号,封装,内置  MOS,内置  LDO,死区,兼容性,典型效率,Unnamed: 11
无线充电器,DER-7726-20-021,3V-12V,20W,PN7726,SOP-PP PLQFN2*2-16L,H桥,5V/50mA,自适应,Qi&QC,-,我要  咨询
