产品网址：http://www.szxinmai.com/index.php?m=content&c=index&a=lists&catid=57
产品结构：当前位置：首页->技术服务->软件设计服务

|产品名称|产品型号|功能描述|
|--|--|--|
|AM5728 开发板|无|无|
|OMAPL138 开发板|无|无|
|AM335X 开发板|无|无|
|AM5728_Artix7 开发板|无|无|
|OMAPL138_Spartan6 开发板|无|无|
|C6678_K7 开发板|无|无|
|C6748_Spartan6 开发板|无|无|
|C665x_Artix7 开发板|无|无|
|C6678 开发板|无|无|
|AM5728 核心板|无|无|
|OMAPL138_Spartan6 核心板|无|无|
|C6748_Spartan6 核心板|无|无|
|RK3568+鸿蒙/安卓/Lin|无|无|
|RK3399 鸿蒙/安卓/Linu|无|无|
|RK3399_K7_FPGA 开发板|无|无|
|ZYNQ_7010/20 开发板|无|无|
|ZYNQ_7035/45 开发板|无|无|
|ZYNQ_7010/20 核心板|无|无|
|AM5728_5G 智能网关|无|无|
|i.MX6ULL 智能网关|无|无|
|AM335x 智能网关|无|无|
|XM 工业故障诊断数字化|无|无|
|XM 智能网联汽车物联平|无|无|
|映美精 USB 3.0 黑白|无|无|
|USB3.1 彩色 映美精|无|无|
|USB2.0 彩色映美精工业|无|无|
|USB2.0 黑白映美精工业|无|无|
|映美精 USB 3.0 黑白|无|无|
|映美精 USB 3.0 彩色|无|无|
|映美精 GigE 黑白工业相|无|无|
|自动核酸提取仪|无|无|
|医疗监护仪|无|无|
|PCR 基因扩增仪|无|无|
|特定蛋白分析仪|无|无|
|医学影像 HMI|无|无|
|麻醉深度监测仪|无|无|
|基于 ARM/DSP 的高性|无|无|
|便携式无线抄表方案|无|无|
|气象监测分析仪|无|无|
|5G 智能网关|无|无|
|环境数据采集单元|无|无|
|智能垃圾箱|无|无|
|污染源在线监测|无|无|
|在线红外热像仪|无|无|
|特高压输电线监测|无|无|
|电力数据采集|无|无|
|充电桩计费控制单元|无|无|
|电力无线频谱仪|无|无|
|TPMS 胎压检测解决方案|无|无|
|汽车空调解决方案|无|无|
|基于 TI AM335x 高铁控|无|无|
|高速广域雷达测速仪|无|无|
|列车驾驶舱显示终端|无|无|
|特种车辆牵引控制|无|无|
|无线地磁车辆检测|无|无|
|网约车监控黑匣子|无|无|
