产品网址：https://www.china-core.com/products_show.php?id=52&lm=16#
产品结构：root->CCM4202S-EL芯片-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|CCM4202S-EL 芯片|无|采用 Cortex-M4F 内核设计，具有极低功耗、高性能、多功能及高安全性等特点，可广泛应用于指纹模组、智能门锁、POS 等产品中，以及网上银行、移动支付、数据安全、保密通信、版权控制和智能电网等领域。典型工作频率 120MHz。|

引脚,封装类型及引脚分配（单位：mm）,封装类型及引脚分配（单位：mm）.1,封装类型及引脚分配（单位：mm）.2
引脚,QFN88  (10*10*0.9),QFN88_POS  (10*10*0.9),BGA121  (8*8*1.07)
SPI,3,2,3
I2C,3,3,3
SSI,1,1(2线),2
SCI,6,3,3
ISO7816,1,2,2
USB,1(USB1.1),1,1(USB_OTG2.0)
ADC(独立+复用),3+8,1+7,3+5
DAC,1,1,1
PWM (复用),4,4,4
MCC,0,1,1
TSI (触控复用）,16,6,16
EPORT (复用）,38,25,37
SDIO(防拆),1,8,8
