产品网址：https://www.china-core.com/products_show.php?id=38&lm=16#
产品结构：root->指纹安全U盘-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|指纹安全 U 盘|无|是一种接触式指纹识别设备，主要由 C*Core 处理器芯片、指纹传感器、存储芯片等组成。具有耐用、耐腐蚀、超强抗静电、小体积、低功耗、高安全性等优势。指纹安全 U 盘将指纹的处理、匹配、存储全部在 C*Core 处理器芯片内部完成，处理速度快，同时对指纹数据进行加密存储，确保指纹数据安全。|

物理尺寸,物理尺寸.1
长,65mm
宽,20mm
高,10mm


参数,说明
处理器(MCU),32bit C*Core MCU
传感器类型,电容式半导体传感器
分辨率,508DPI
图像灰度等级,256 级灰度
FAR,0.002%
FRR,＜2%
匹配时间(1:10),＜400ms
指纹容量,标配10枚指纹
工作电压,4.5V~5.5V
工作电流,＜120mA(max.)
数据接口,USB2.0/USB3.0
存储容量,16GB/32GB/64G/128G
读写速度,写:25MB/s(typ.)，读:27MB/s(typ.)
工作环境,温度：0℃~70℃
存储环境,温度：-40℃~85℃
