产品网址：https://www.china-core.com/products_show.php?id=37&lm=16
产品结构：root->指纹安全U盘KEY-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|指纹安全 U 盘 KEY|无|具有耐用、耐腐蚀、超强抗静电、小体积、低功耗、高安全性等优势。将指纹的处理、匹配、存储全部在 C*Core 处理器芯片内部完成，处理速度快，同时对指纹数据国际算法加密存储，确保指纹数据安全。具有大容量存储，最大可支持 128GB 容量。也具有安全 UKEY 功能，支持微软 CSP、国密智能密码钥匙接口等标准接口。支持 DES/AES/SM1/SM4/SM3/SHA1/SHA256/RSA/SM2 等算法。还具有 Windows Hello 生物识别功能，可支持 Windows 系统登陆；支持 Kylin 的麒麟生物特征认证系统和 UOS 的统信 UOS 指纹模块，进行系统登陆。|

物理尺寸,物理尺寸.1
长,65mm
宽,20mm
高,10mm


名称,选配功能,选配功能.1,选配功能.2,选配功能.3
名称,系统登录,UKEY功能,隐藏区,安全区
指纹安全U盘KEY(隐藏区版带系统登陆),√,√,√,
指纹安全U盘KEY(加密区版带系统登陆),√,√,,√
指纹安全U盘KEY(隐藏区版),,√,√,
指纹安全U盘KEY(加密区版),,√,,√
指纹安全KEY(带系统登陆),√,√,,
指纹安全 UKEY,,√,,


参数,说明
处理器(MCU),32bit C*Core MCU
传感器类型,电容式半导体传感器
分辨率,508DPI
图像灰度等级,256 级灰度
FAR,0.002%
FRR,＜2%
匹配时间(1:10),＜400ms
指纹容量,标配10枚指纹
工作电压,4.5V~5.5V
工作电流,＜120mA(max.)
数据接口,USB2.0/USB3.0
存储容量,16GB/32GB/64G/128G
读写速度,写:25MB/s(typ.)，读:27MB/s(typ.)
工作环境,温度：0℃~70℃
存储环境,温度：-40℃~85℃
