产品网址：https://www.szhaina.com/index.php?m=index&a=content&cid=98
产品结构：稳压二极管首页->产品中心->分立器件->二极管->稳压二极管

|产品名称|产品型号|功能描述|
|--|--|--|
|稳压二极管|无|无|

型号,Vz(V)Min,Vz(V)Max,Iz(mA),功耗(W),封装,品牌,规格书
,,,,,,,
LBZT52B9V1T1G,8.85,9.23,5.0,0.5,SOD-123,LRC,下载
LBZT52B8V2T1G,8.02,8.36,5.0,0.5,SOD-123,LRC,下载
LBZT52B7V5T1G,7.28,7.6,5.0,0.5,SOD-123,LRC,下载
LBZT52B6V8T1G,6.65,6.93,5.0,0.5,SOD-123,LRC,下载
LBZT52B6V2T1G,6.06,6.33,5.0,0.5,SOD-123,LRC,下载
LBZT52B5V6T1G,5.49,5.73,5.0,0.5,SOD-123,LRC,下载
LBZT52B5V1T1G,4.98,5.2,5.0,0.5,SOD-123,LRC,下载
LBZT52B4V7T1G,4.55,4.75,5.0,0.5,SOD-123,LRC,下载
LBZT52B4V3T1G,4.17,4.43,5.0,0.5,SOD-123,LRC,下载
LBZT52B3V9T1G,3.89,4.16,5.0,0.5,SOD-123,LRC,下载
LBZT52B3V6T1G,3.6,3.85,5.0,0.5,SOD-123,LRC,下载
LBZT52B3V3T1G,3.32,3.53,5.0,0.5,SOD-123,LRC,下载
LBZT52B3V0T1G,3.01,3.22,5.0,0.5,SOD-123,LRC,下载
LBZT52B36T1G,35.07,36.89,5.0,0.5,SOD-123,LRC,下载
LBZT52B33T1G,32.15,33.79,5.0,0.5,SOD-123,LRC,下载
LBZT52B30T1G,29.19,30.69,5.0,0.5,SOD-123,LRC,下载
LBZT52B2V7T1G,2.69,2.91,5.0,0.5,SOD-123,LRC,下载
LBZT52B2V4T1G,2.43,2.63,5.0,0.5,SOD-123,LRC,下载
LBZT52B2V2T1G,2.22,2.41,5.0,0.5,SOD-123,LRC,下载
LBZT52B2V0T1G,2.02,2.2,5.0,0.5,SOD-123,LRC,下载
LBZT52B27T1G,26.19,27.53,5.0,0.5,SOD-123,LRC,下载
LBZT52B24T1G,23.72,24.78,5.0,0.5,SOD-123,LRC,下载
LBZT52B22T1G,21.54,22.47,5.0,0.5,SOD-123,LRC,下载
LBZT52B20T1G,19.52,20.39,5.0,0.5,SOD-123,LRC,下载
