产品网址：https://www.nysenba.com/ls/ls06-s.html
产品结构：当前位置：首页->产品中心->可见光传感器->光敏传感器

|产品名称|产品型号|功能描述|
|--|--|--|
|光敏传感器|LS06-S|替代传统光敏电阻 (CdS)，不含镉、铅等有害物质，符合欧盟 ROHS 标准；自动调节背景光，如 LCD，手机，照相机，电脑摄像头等；适用于各种光控照明产品和光控玩具：如小夜灯等；适用于各类光控红外检测测试设备等|

参数名称,符号,额定值,单位
集电极-发射极电压,VCEO,20,V
发射极-集电极电压,VCEO,5,V
功耗,Pc,70,mW
工作温度,Topr,-25~+85,℃
储存温度,Tstg,-40~+100,℃


参数名称,参数名称.1,符号,测试条件,最小值,典型值,最大值,单位
光电流,光电流,IL(1),"VDD=5V,EV=10LUX",18.0,25.0,30.0,μA
光电流,光电流,IL(2),"VDD=5V,EV=50LUX",,75.0,,μA
光电流,光电流,IL(3),"VDD=5V,EV=100LUX",,250.0,,μA
暗电流,暗电流,ICEO,"VDD=5V,EV=0LUX",,,0.2,μA
感光峰值波长,感光峰值波长,λp,,,850.0,,nm
感光波长范围,感光波长范围,λd,,450.0,,1050.0,nm
集电极-发射极电压,集电极-发射极电压,Bvceo,IC=100uA Ee=0mW/cm2,,,70.0,v
发射极-集电极电压,发射极-集电极电压,Bveco,IE=10uA Ee=0mW/cm2,,,30.0,v
集电极发射极饱和电压,,Vce(sat),IC=2mA Ee=1mW/cm2,,,0.4,v
响应时间,开启时间,TR,"VCE=5V,IC=1mA RL=10KΩ",10.0,10.0,10.0,μs
响应时间,关闭时间,TR,"VCE=5V,IC=1mA RL=10KΩ",15.0,15.0,15.0,μs
