产品网址：http://en.tiandy.com/index.php?s=/Home/Product/lists/category/257.html#
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|4MP Fixed Starlight IR Bullet Camera|TC-C34GS|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed Starlight IR Bullet Camera|TC-C34GS|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed IR Bullet Camera|TC-C34GN|Metal+plastic housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|4MP Fixed IR Bullet Camera|TC-C34GN|Metal+plastic housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|4MP Fixed Turret Camera（colormaker）|TC-C34XN|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Motorized IR Bullet Camera|TC-C34UN|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed Bullet Camera（colormaker）|TC-C34QN|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed Bullet Camera（colormaker）|TC-C34QN|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed Starlight IR Dome Camera|TC-C34KS|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed IR Dome Camera|TC-C34KN|Plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.02Lux@(F1.6,AGC ON),B/W:0Lux with IR|
