产品网址：http://en.tiandy.com/index.php?s=/Home/Product/lists/category/267.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|8MP Fixed Panoramic Camera|TC-C382V|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.0001Lux@(F1.0,AGC ON),B/W:0Lux with IR|
|8MP Starlight IR Turret Camera|TC-C38XS|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG|
|8MP Fixed EW Camera（colormaker）|TC-C38XQ|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|8MP Fixed Starlight IR Bullet Camera|TC-C38WS|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG|
|8MP Fixed Starlight IR Bullet Camera|TC-C38WS|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG|
|8MP Fixed EW Camera（colormaker）|TC-C38WQ|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|8MP Fixed EW Camera（colormaker）|TC-C38WQ|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|8MP Starlight Motorized IR Bullet Camera|TC-C38TS|Metal Housing，Motorized Lens 2.7-13.5mm，Up to 3840×2160@30fps|
|8MP Starlight Motorized IR Turret Camera|TC-C38SS|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG|
|8MP Starlight Motorized IR Dome Camera|TC-C38MS|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG|
