产品网址：https://www.tiandy.com/product/wlsxj/wxxl
产品结构：root->-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|300 万变焦全光谱 WIFI 警戒球|TC-H134N 配置：I8W/C/WIFI/4-12mm|无|
|300 万定焦室内 WIFI 警戒球|TC-H132N 配置：I2W/WIFI/4mm|无|
|300 万定焦全光谱 WIFI 警戒球|TC-H133N 配置：I5W/C/WIFI/4mm|无|
|400 万定焦全光谱 WIFI 警戒球|TC-H143N 配置：I5W/WIFI/4mm|无|
|600 万定焦全光谱 WIFI 枪球|TC-H163N 配置：I5W/WIFI/4mm|无|
|400 万定焦室内 WIFI 警戒球|TC-H142N 配置：I2W/WIFI/4mm|无|
|300 万全光谱 WIFI 一体机|TC-C13QN 配置：I5W/WIFI/4mm|无|
|400 万全光谱 WIFI 一体机|TC-C14QN 配置：I5W/WIFI/4mm|无|
|300 万全光谱电池 WIFI 一体机|TC-C13CN 配置：I3W/U/WIFI/4mm|无|
|600 万定焦全光谱 4G 枪球|TC-H163N 配置：I5W/4G/4mm|无|
|600 万定焦全彩电池 4G 枪球|TC-H163U 配置：W/4G/U/SE/4mm|无|
