产品网址：https://www.tiandy.com/product/hdccsb/fxNVR/list_113_1.html
产品结构：root->分销NVR-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|分销 NVR|4 路 1 盘位 PoE NVR|无|
|分销 NVR|TC-R1104 配置:AK/P4|无|
|分销 NVR|8 路 1 盘位 PoE NVR|无|
|分销 NVR|TC-R1108 配置:AK/P8|无|
|分销 NVR|5 路 1 盘位 NVR|无|
|分销 NVR|TC-R1105 配置:I/B/L/S|无|
|分销 NVR|8 路 1 盘位 NVR|无|
|分销 NVR|TC-R1108 配置:I/B/L|无|
|分销 NVR|20 路 1 盘位 NVR|无|
|分销 NVR|TC-R1120 配置:I/B|无|
|分销 NVR|20 路 2 盘位 NVR|无|
|分销 NVR|TC-R1220 配置:I/B|无|
|分销 NVR|20 路 4 盘位 NVR|无|
|分销 NVR|TC-R1420 配置:I/B/N|无|
|分销 NVR|32 路 4 盘位 NVR|无|
|分销 NVR|TC-R1432 配置:I/B/N|无|
|分销 NVR|40 路 4 盘位 NVR|无|
|分销 NVR|TC-R1440 配置:I/B/N|无|
|分销 NVR|32 路 8 盘位 NVR|无|
|分销 NVR|TC-R1832 配置:I/B/N|无|
|分销 NVR|30 路 2 盘位 NVR|无|
|分销 NVR|TC-R1230 配置:I/B|无|
|分销 NVR|12 路 1 盘位 NVR|无|
|分销 NVR|TC-R1112 配置:I/B|无|
