产品网址：https://www.tiandy.com/product/AIsxj/list_79_4.html
产品结构：root->AI摄像机-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|500 万主动智能一体机|TC-C55BQ 配置：I5W/E/Y/(4/6/8)mm|无|
|200 万星光定焦智能警戒一体机|TC-C52BQ 配置：I5W/E/Y/(4/6/8)mm|无|
|500 万主动智能半球|TC-C55SQ 配置：I3W/E/Y/(2.8/4/6)mm|无|
|200 万星光定焦智能警戒半球|TC-C52SQ 配置：I3W/E/Y/(2.8/4/6)mm|无|
|200 万定焦全光谱一体机|TC-C52EN 配置：I5W/E/(4/6)mm|无|
|200 万定焦全光谱半球|TC-C52XN 配置：I3W/E/(2.8/4)mm|无|
|200 万全向智能一体机|TC-C52RN 配置：I5W/E/Y/QX/(4/6)mm|无|
|300 万定焦全光谱 4G 警戒一体机|TC-C53BQ 配置：I8W/Y/4G/(4/6/8)mm|无|
|300 万变焦全光谱 WIFI 警戒球|TC-H534N 配置：I8W/C/WIFI/4~12mm|无|
|800 万星光定焦红外音频一体机|TC-C58ES 配置：I8/E/Y/(4/6)mm|无|
|800 万星光定焦红外音频半球|TC-C58XS 配置：I5/E/Y/(2.8/4)mm|无|
|500 万极昼定焦警戒一体机|TC-C55BV 配置：W/E/Y/FC/(4/6)mm|无|
