产品网址：http://en.tiandy.com/index.php?s=/Home/Product/lists/category/275/p/3.html#
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|2MP Motorized Starlight IR Bullet Camera|TC-C32US|Metal Housing，Motorized Lens 2.7-13.5mm，Up to 1920x1080@30fps|
|4MP Fixed Starlight IR Turret Camera|TC-C34XN|Metal+Plastic Housing，Up to 2688X1520@25fps，S+265/H.265/H.264|
|5MP Starlight AI - Face Capture Box Camera-Project|TC-C55AS|1/1.8" CMOS，Min. Illumination：color：0.0002Lux（AGC ON @F1.6）、B/W：0.0001Lux（AGC ON @F1.6）|
|8MP Starlight Motorized IR Bullet Camera(Project)|TC-C38LS|Metal Housing，Motorized Lens 2.7-13.5mm，Up to 3840×2160@30fps|
|2MP Starlight Face Capture Box Camera|TC-A52A2|Illumination: Color: 0.002L ux (AGC ON @ F1.6 ), black and white: 0.001L ux (AGC ON @ F1.6 )|
|5MP Starlight Face Capture Box Camera|TC-C55AS|1/1.8" CMO，Min. Illumination:color:0.0002Lux(AGC ON @F1.6)、B/W:0.0001Lux(AGC ON @F1.6)|
|8MP Fixed EW Camera|TC-C38WQ|Default: Metal+Plastic, M: Metal Housing，Up to 3840x2160@25fps，S+265/H.265/H.264|
|5MP Fixed Starlight IR Bullet Camera|TC-C35WS|Default: Metal+Plastic, M: Metal Housing，Up to 2592x1944@20fps，S+265/H.265/H.264|
|8MP Fixed EW Camera|TC-C38XQ|Default: Metal，Up to 3840x2160@20fps，S+265/H.265/H.264|
|8MP Fixed Starlight IR Bullet Camera|TC-C38WS|Full Metal Housing，Up to 3840x2160@20fps，S+265/H.265/H.264|
