产品网址：https://www.tiandy.com/product/wlsxj
产品结构：root->网络摄像机-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|300 万星光无尾线一体机|TC-C13ZS|配置：I5W/E/Y/NC/(4/6)mm|
|300 万定焦全光谱音频一体机|TC-C13EN|配置：I5W/E/Y/(4/6/8)mm|
|300 万定焦全光谱音频一体机|TC-C13DN|配置：I8W/E/Y/(4/6/8)mm|
|300 万定焦全光谱音频一体机|TC-C13ZN|配置：I5W/E/Y/(4/6)mm|
|300 万定焦全光谱音频半球|TC-C13XN|配置：I3W/E/Y(2.8/4)mm|
|300 万变焦全光谱 WIFI 警戒球|TC-H134N|配置：I8W/C/WIFI/4-12mm|
|200 万定焦红外音频一体机|TC-C12EN|配置：I8/E/Y/(4/6/8)mm|
|200 万定焦红外音频半球|TC-C12HN|配置：I5/E/Y/(2.8/4/6)mm|
|300 万定焦红外音频一体机|TC-C13EN|配置：I8/E/Y/(4/6/8)mm|
|300 万定焦红外音频半球|TC-C13HN|配置：I5/E/Y/(2.8/4/6)mm|
|500 万定焦红外音频一体机|TC-C15EN|配置：I8/E/Y/(4/6/8)mm|
|300 万定焦室内 WIFI 警戒球|TC-H132N|配置：I2W/WIFI/4mm|
