产品网址：https://www.tiandy.com/product/hdccsb/tyNVR
产品结构：root->通用NVR-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|通用 NVR|TC-R5110|10 路 1 盘位 NVR，配置：I/B/N|
|通用 NVR|TC-R5220|20 路 2 盘位 NVR，配置：I/B/N|
|通用 NVR|TC-R5420|20 路 4 盘位 NVR，配置：I/B/N|
|通用 NVR|TC-R5432|32 路 4 盘位 NVR，配置：I/B/N|
|通用 NVR|TC-R5832|32 路 8 盘位 NVR，配置：I/B/N|
|通用 NVR|TC-R5440|40 路 4 盘位 NVR，配置：I/B/N|
|通用 NVR|TC-R5880|80 路 8 盘位 NVR，配置：I/B/N|
|通用 NVR|TC-R5840|40 路 8 盘位 NVR，配置：I/B/N|
|通用 NVR|TC-R51640|40 路 16 盘位 NVR，配置：E/B/N|
|通用 NVR|TC-R516160|160 路 16 盘位 NVR，配置：E/B/N|
|通用 NVR|TC-R51680|80 路 16 盘位 NVR，配置：E/B/N|
|通用 NVR|TC-R524160|160 路 24 盘位 NVR，配置：E/B/N|
