产品网址：https://www.xlsemi.com/products_DC_DC_led_bucksr.html
产品结构：root->上海芯龙半导体技术股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|降压同步整流恒流驱动|无|降压型 LED 照明同步整流驱动芯片，工作电压范围 5~90V，具有大功率、高效率、高可靠性、高精度、外围电路简单等优势。应用领域包括舞台照明、隧道照明、汽车 LED 驱动、太阳能路灯、户外照明、特种照明、应急照明、智慧消防、背光驱动等|

型号,产品特征,功率,输入电压,频率,开关电流,恒流精度,效率,输出电压,基准电压,封装,演示版说明,规格书
XL9502,同步、恒流,10W,5~45V,200KHz,2A,±4%,95%,ADJ,0.23V,SOP8,,
XL9503,同步、恒流,15W,5~45V,200KHz,3A,±4%,95%,ADJ,0.23V,SOP8-EP,,
XL9504,同步、恒流,30W,5~45V,200KHz,4A,±4%,95%,ADJ,0.23V,TO252-5L,,
XL9505,同步、恒流、大功率,50W,5~45V,200KHz,5A,±4%,95%,ADJ,0.23V,TO263-5L,,
XL9506,同步、恒流、大功率,80W,5~45V,200KHz,6A,±4%,95%,ADJ,0.23V,TO220-5L,,
XL9514,同步、恒流,30W,5~45V,150KHz,4A,±4%,97%,ADJ,0.23V,TO252-5L,,
XL9522,同步、恒流、使能,10W,5~45V,150KHz,2A,±4%,94%,ADJ,0.23V,SOP8,,
XL9523,同步、恒流、使能,15W,5~45V,150KHz,3A,±4%,95%,ADJ,0.23V,SOP8-EP,,
XL9611,高压同步、恒流,5W,5~90V,150KHz,0.6A,±3%,93%,ADJ,0.22V,SOP8,,
XL9612,高压同步、恒流,15W,5~90V,150KHz,1.5A,±3%,93%,ADJ,0.22V,TO252-5L,,
XL9613,高压同步、恒流、大功率,25W,5~90V,150KHz,2A,±3%,93%,ADJ,0.22V,TO263-5L,,
XL9614,高压同步、恒流、大功率,30W,5~90V,150KHz,2A,±3%,93%,ADJ,0.22V,TO220-5L,,
XL9507,同步、恒流、使能,10W,5~45V,200KHz,2A,±3%,93%,ADJ,0.23V,SOP8,,
XL9508,同步、恒流、使能,15W,5~45V,200KHz,3A,±3%,93%,ADJ,0.23V,SOP8-EP,,
XL9515  新品！,同步、恒流、大功率,50W,5~45V,150KHz,6A,±4%,95%,ADJ,0.23V,TO263-5L,/,/
XL9516  新品！,同步、恒流、大功率,80W,5~45V,150KHz,10A,±4%,95%,ADJ,0.23V,TO220-5L,/,/
