产品网址：https://cn.aoto.com/template/productShow.aspx?id=100000014857743
产品结构：当前位置：首页->产品中心->立式排队机

|产品名称|产品型号|功能描述|
|--|--|--|
|立式排队机|AQ2009|可实现排队取号及叫号功能，规范网点秩序；支持磁条刷卡、身份证阅读、非接 IC 读卡、二维码扫描、人脸识别等多种身份识别方式，实现对客户的准确分类。已广泛应用于银行、政务、税务、电信运营商等营业网点。具有无线连接方式，抗突发干扰和随机干扰能力强，前开门日常维护，低纸张堵塞概率等特点。|

类别,配置及参数
主机,工控主板，CPU 单核1.8GHz，内存2G，硬盘500G
显示屏,17  寸
触摸屏,17  寸
热敏打印机,80mm  行式热敏打印
语音模块,内置8Ω/5W喇叭，可外接音箱
无线收发模块,433MHz  无线通讯，0~7频点
磁条刷卡器（选配）,支持
身份证阅读器（选配）,支持
非接IC读卡器（选配）,支持
二维码扫描器（选配）,支持
摄像头（选配）,支持
操作系统,Linux + Windows XP
电源规格,AC220V  ，50Hz，可靠接地
