产品网址：http://www.sdkddx.com/product/14.html?productCateId=11
产品结构：root->键合金丝_山东科大鼎新电子科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|键合金丝|1. 高纯金丝，中等拉伸强度（4N5）KD02、KD03、KD05、KD06<br>2. 纯金丝，高拉伸强度（3N，4N）KA10、KA06、KD99、KD07<br>3. 合金金丝，高拉伸强度（2N）KA01、KA03|是一种具备优异的导电、导热、机械性能及化学性能稳定性极好的半导体封装用内引线材料。本产品作为封装用内引线，是集成电路和半导体分离器制造过程中必不可少的基础材料之一。公司可按照客户要求提供从 13um-50um 不同线径的键合金丝|

键合金丝产品机械性能  Mechanical properties of copper bonding wires,键合金丝产品机械性能  Mechanical properties of copper bonding wires.1,键合金丝产品机械性能  Mechanical properties of copper bonding wires.2,键合金丝产品机械性能  Mechanical properties of copper bonding wires.3,键合金丝产品机械性能  Mechanical properties of copper bonding wires.4,键合金丝产品机械性能  Mechanical properties of copper bonding wires.5,键合金丝产品机械性能  Mechanical properties of copper bonding wires.6
直径Dia,直径Dia,延伸率 EL  %,机械性能 properties,机械性能 properties,机械性能 properties,机械性能 properties
直径Dia,直径Dia,延伸率 EL  %,拉断力BL（CN）,拉断力BL（CN）,拉断力BL（CN）,拉断力BL（CN）
um,mil,延伸率 EL  %,KD02,KD03/KD06,KD05/KD07,KA01/KA03/KD99/KA06/KA10
13,0.50,2-5,/,＞2.5,＞2.5,＞3.0
14,0.55,2-5,/,＞3.0,＞3.0,＞3.0
15,0.6,2-5,/,＞3.0,＞3.5,＞4.0
16,0.63,2-5,＞2.5,＞3.0,＞3.5,＞4.0
17,0.67,2-5,＞2.5,＞3.0,＞3.5,＞4.0
18,0.7,2-5,＞2.5,＞3.5,＞4.0,＞5.0
19,0.75,2-6,＞3.0,＞4.0,＞4.5,＞5.5
20,0.8,2-6,＞4.0,＞4.5,＞6.0,＞6.0
21,0.83,2-6,＞4.5,＞5.0,＞6.0,＞6.5
22,0.87,2-7,＞4.5,＞5.5,＞6.0,＞7.0
23,0.9,2-7,＞5.0,＞6.0,＞7.0,＞8.0
24,0.94,2-7,＞6.0,＞6.5,＞7.5,＞9.0
25,1.0,2-8,＞7.0,＞8.0,＞10.0,＞10.0
28,1.1,2-8,＞9.0,＞10.0,＞12.0,＞11.0
30,1.2,3-8,＞11.0,＞12.0,＞13.0,＞15.0
32,1.25,3-8,＞12.0,＞13.0,＞15.0,＞16.0
33,1.3,3-8,＞13.0,＞14.0,＞16.0,＞18.0
35,1.4,3-10,＞15.0,＞16.0,＞18.0,＞22.0
38,1.5,3-10,＞17.0,＞18.0,＞21.0,＞22.0
40,1.57,3-10,＞20.0,＞22.0,＞24.0,＞26.0
45,1.8,3-12,＞24.0,＞25.0,＞28.0,＞30.0
50,2.0,3-12,＞30.0,＞32.0,＞34.0,＞36.0
60,2.4,7-14,＞43.0,＞45.0,＞50.0,＞52.0
70,2.8,7-14,＞50.0,＞55.0,＞60.0,＞63.0
