产品网址：http://www.sdkddx.com/product/15.html
产品结构：root->镀金钯铜丝_山东科大鼎新电子科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|镀金钯铜丝|无|第一焊点硬度低，硬度值接近 2N 金线；具有优良的导电和导热特性；具有很好的抗氧化性，具有较长的使用寿命；金属间化合物生长速度慢，具有较好的可靠性；具有较高的第二焊点拉力；可以使用纯氮气键合|

科大鼎新半导体镀金钯铜丝标准,科大鼎新半导体镀金钯铜丝标准.1,科大鼎新半导体镀金钯铜丝标准.2,科大鼎新半导体镀金钯铜丝标准.3
直径Dia,直径Dia,机械性能 properties,机械性能 properties
直径Dia,直径Dia,延伸率 EL（%）,拉断力BL（CN）
um,mil,KDAPC,KDAPC
15,0.6,2-8,5-13
16,0.63,2-8,5-13
17,0.67,2-8,5-13
18,0.7,3-9,7-15
19,0.75,3-9,7-15
20,0.8,4-10,8-18
23,0.9,5-11,8-18
25,1.0,6-12,8-18
28,1.1,8-15,10-20
30,1.2,10-18,15-21
32,1.25,10-30,15-21
35,1.3,10-30,15-21
38,1.4,10-30,15-21
42,1.5,15-35,15-22
44,1.65,22-42,15-22
45,1.73,22-42,15-22
50,1.8,22-42,15-22
15,2.0,30-50,15-22
