产品网址：https://hawdar.com/index.php?id=76
产品结构：首页->产品中心->BUCs->C频段BUC->C波段BUC（20W、40W）-

|产品名称|产品型号|功能描述|
|----|----|----|
|C 波段 BUC（20W、40W）|BUC-C2FN、BUC-C5FN、BUC-C8FN、BUC-C20FN、BUC-C40FN|低功耗，一体化结构设计，系统温差小，可靠性高，高功率门限设置，电压、电流告警保护，全模块化设计，易于维护|

工作频率,输出功率,型号,型号.1,输入  /  输出驻波比,设备尺寸  (mm)
发射频率：  5.85-6.425GHz  5.85-6.725GHz  （扩展频率）  中频频率：  950 - 1525 MHz  950 - 1825 MHz (  扩展频率）,20W,BUC-C20FN,BUC-C20FN,1.5:1/1.35:1,257×136×136
发射频率：  5.85-6.425GHz  5.85-6.725GHz  （扩展频率）  中频频率：  950 - 1525 MHz  950 - 1825 MHz (  扩展频率）,40W,BUC-C40FN,BUC-C40FN,1.5:1/1.35:1,257×136×136
C  频段  BUC,20W,20W,20W,40W,40W
输出功率,43dBm,43dBm,43dBm,46dBm,46dBm
发射频率,"5.850 - 6.425 GHz, 5.850 - 6.725 GHz (  扩展频率）","5.850 - 6.425 GHz, 5.850 - 6.725 GHz (  扩展频率）","5.850 - 6.425 GHz, 5.850 - 6.725 GHz (  扩展频率）","5.850 - 6.425 GHz, 5.850 - 6.725 GHz (  扩展频率）","5.850 - 6.425 GHz, 5.850 - 6.725 GHz (  扩展频率）"
中频频率,"950 - 1525  MHz, 950 - 1825 MHz (  扩展频率）","950 - 1525  MHz, 950 - 1825 MHz (  扩展频率）","950 - 1525  MHz, 950 - 1825 MHz (  扩展频率）","950 - 1525  MHz, 950 - 1825 MHz (  扩展频率）","950 - 1525  MHz, 950 - 1825 MHz (  扩展频率）"
小信号增益,70dB,70dB,70dB,70dB,70dB
增益平坦度,"≤4 dB /575 MHz, ≤5 dB  /875 MHz","≤4 dB /575 MHz, ≤5 dB  /875 MHz","≤4 dB /575 MHz, ≤5 dB  /875 MHz","≤3 dB /575 MHz, ≤4 dB  /875 MHz","≤3 dB /575 MHz, ≤4 dB  /875 MHz"
衰减控制,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB,0-20dB  ，步进  0.1dB
三阶交调,-25dBc,-25dBc,-25dBc,-25dBc,-25dBc
杂散,-55dBc,-55dBc,-55dBc,-55dBc,-55dBc
驻波比,1.5:1/1.35:1,1.5:1/1.35:1,1.5:1/1.35:1,1.5:1/1.35:1,1.5:1/1.35:1
功耗,160W,160W,250W,250W,250W
重量,5Kg,5Kg,5Kg,5Kg,5Kg
相位噪声,-65dBc/Hz @100Hz,-65dBc/Hz @100Hz,-65dBc/Hz @100Hz,-65dBc/Hz @100Hz,-65dBc/Hz @100Hz
相位噪声,-75dBc/Hz @1KHz,-75dBc/Hz @1KHz,-75dBc/Hz @1KHz,-75dBc/Hz @1KHz,-75dBc/Hz @1KHz
相位噪声,-85dBc/Hz @10KHz,-85dBc/Hz @10KHz,-85dBc/Hz @10KHz,-85dBc/Hz @10KHz,-85dBc/Hz @10KHz
相位噪声,-95dBc/Hz @100KHz,-95dBc/Hz @100KHz,-95dBc/Hz @100KHz,-95dBc/Hz @100KHz,-95dBc/Hz @100KHz
外参考源要求,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm
接口,中频、外参考输入  N-50K/F  型（母）,中频、外参考输入  N-50K/F  型（母）,中频、外参考输入  N-50K/F  型（母）,中频、外参考输入  N-50K/F  型（母）,中频、外参考输入  N-50K/F  型（母）
接口,输出：  BJ-70  （法兰：  FDM70  ）,输出：  BJ-70  （法兰：  FDM70  ）,输出：  BJ-70  （法兰：  FDM70  ）,输出：  BJ-70  （法兰：  FDM70  ）,输出：  BJ-70  （法兰：  FDM70  ）
接口,供电：航空插座,供电：航空插座,供电：航空插座,供电：航空插座,供电：航空插座
接口,监控：航空插座（以太网口）,监控：航空插座（以太网口）,监控：航空插座（以太网口）,监控：航空插座（以太网口）,监控：航空插座（以太网口）
电压,"85 ~ 265 VAC, 47 - 63 Hz","85 ~ 265 VAC, 47 - 63 Hz","85 ~ 265 VAC, 47 - 63 Hz","85 ~ 265 VAC, 47 - 63 Hz","85 ~ 265 VAC, 47 - 63 Hz"
工作温度,-40  ℃  ～  +60  ℃,-40  ℃  ～  +60  ℃,-40  ℃  ～  +60  ℃,-40  ℃  ～  +60  ℃,-40  ℃  ～  +60  ℃
工作湿度,0%  ～  100%,0%  ～  100%,0%  ～  100%,0%  ～  100%,0%  ～  100%
