产品网址：https://hawdar.com/index.php?id=47
产品结构：首页->产品中心->LNAs->Ku频段-LNA->Ku波段低噪放-

|产品名称|产品型号|功能描述|
|----|----|----|
|Ku 波段低噪放|LNA-Ku80ES|极低噪声温度，扩展频率定制，功耗低，性价比高，便于安装易于维护，可选 1:1 或 1:2 冗余备份功能、LNA 电源监控、输入端低损耗波导隔离器|

型号,频率范围  (  GHz),噪声温度,增益  (dB),波动  (dB),驻波比,说明
LNA-Ku70DS,11.40-12.75,70K,55,≤±  1.5,2.5/1.5,
LNA-Ku80ES,10.70-12.75,80K,55,≤±  1.5,1.35/1.5,输入端波导隔离器


参数,性能
工作温度范围内增益变化,≤±  1.5dB
恒定温度下的增益稳定度,±0.1 dB/  小时
恒定温度下的增益稳定度,±0.2 dB/24  小时
P1dB  输出功率,≥10dBm
最大不损坏  输入功率,0dBm
杂散,≤  -60dBc
工作电压  /  电流,+15VDC (DC 12V  ～  18V)  ，约  80mA
外形尺寸  /  重量,带波导隔离器：  117mm×53mm×40mm  ，  460g
外形尺寸  /  重量,不带波导隔离器：  92mm×53mm×40mm  ，  400g
接口,输入：波导  BJ120  对应法兰  FBM120  （  WR75-G  ）
接口,输出：  SMA-50K  （或  N-50K  可选）
接口,供电：  SMA-K  （或航空插头可选）
工作温度,-40  ℃～  +60  ℃
工作湿度,5%  ～  100%
