产品网址：https://www.tiandy.com/product/wlsxj/jxsxj
产品结构：root->经销摄像机-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|200 万定焦红外音频一体机|TC-C12EN 配置：I8/E/Y/(4/6/8)mm|无|
|200 万定焦红外音频半球|TC-C12HN 配置：I5/E/Y/(2.8/4/6)mm|无|
|300 万定焦红外音频一体机|TC-C13EN 配置：I8/E/Y/(4/6/8)mm|无|
|300 万定焦红外音频半球|TC-C13HN 配置：I5/E/Y/(2.8/4/6)mm|无|
|500 万定焦红外音频一体机|TC-C15EN 配置：I8/E/Y/(4/6/8)mm|无|
|500 万定焦红外音频半球|TC-C15HN 配置：I5/E/Y/(2.8/4/6)mm|无|
|400 万双模红外音频一体机|TC-C14EN 配置：I8/E/Y/D(4/6)mm|无|
|400 万双模红外音频半球|TC-C14HN 配置：I5/E/Y/D/(2.8/4)mm|无|
|200 万定焦红外半球|TC-C12HN 配置：I3/E/Y/(2.8/4/6)mm|无|
