产品网址：https://en.tiandy.com/index.php?s=/Home/Product/lists/category/261/p/2.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|2MP Fixed Bullet Camera（colormaker）|TC-C32WP|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Fixed Bullet Camera（colormaker）|TC-C32WP|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Fixed IR Bullet Camera|TC-C32WN|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|2MP Fixed IR Bullet Camera|TC-C32WN|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|2MP Fixed IR Bullet Camera|TC-C32WN|Metal+plastic housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|2MP Fixed IR Bullet Camera|TC-C32WN|Metal+plastic housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|2MP Motorized Starlight IR Bullet Camera|TC-C32US|Metal housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Motorized IR Bullet Camera|TC-C32UN|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|2MP Motorized Starlight IR Turret Camera|TC-C32SS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Motorized IR Turret Camera|TC-C32SN|Metal housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
