产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/1120.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|2MP 2X WIFI EW IP Camera|TC-H322N|·Plastic housing<br>·S+265/H.265/H.264B/H.264M/H.264H<br>·Color:0.02Lux@(F2.0,AGC ON),B/W:0Lux with IR<br>·IR Range 15m<br>·Built-in Mic, Built-in Speaker<br>·Support microSD/microSDHC/microSDXC card, up to 512 GB<br>·Support Smart surveillance<br>·Operating Conditions -10℃~45℃(No turning on the light), Humidity 95% or less (no condensation)<br>·DC12V±25%,MAX 6W|

Camera,Camera.1
Image  Sensor,"1/3""CMOS"
Min.  Illumination,"Color:0.02Lux@(F2.0,AGC ON),B/W:0Lux with  IR"
Shutter  Time,1s~1/100000s
Day&Night,IR-cut filter with auto switch  (ICR)
WDR,DWDR
S/N,>38dB
Angle  Adjustment,0~350°(P); -  25°~90°(T)
Lens,Lens
Lens Type,Fixed  focal  lens
Focal Length,4mm
Lens Mount,M12
Aperture Range,F2.0
Field of View,78.3°(H); 44.1°(V); 89.3  °(D)
DORI Distance,Detect:59.3m  Observe:23.5m  Recognize:11.9m  Identify:5.9m
Illuminator,Illuminator
IR  LEDs,4
IR  Distance,15m
Wavelength,850nm
White  LEDs,1
Whitelight  Distance,10m
Compression  Standard,Compression  Standard
Video  Compression,S+265/H.265/H.264B/H.264M/H.264H
Video Bit  Rate,32k~4Mbps
Audio  Compression,G.711A/G.711U
Audio Sampling  Rate,8kHz/16kHz
Image,Image
Main  Stream,"PAL:25fps(1920×1080, 1280×720, 704×576,  640×480)  NTSC:30fps(1920×1080, 1280×720, 704×480,  640×480)"
Sub  Stream,"PAL:25fps(704×576, 704×288, 352×288,  640×360)  NTSC:30fps(704×480, 704×240, 352×240,  640×360)"
BLC,Yes
HLC,Yes
AGC,Yes
3D  DNR,Yes
White  Balance,Auto/Semi-Auto/Manual/Sunshine/Nature Light/Warmlight Lamp/Daylight  Lamp/Filament  Lamp/Lock White  Balance
OSD,"Overlay of additional characters in 1 regions, 1 line, with a maximum of 48 characters or  16  Chinese characters per region;  16*16/32*32"
Privacy  Mask,4 black static  areas
Defog,Yes
Feature,Feature
Alarm  Trigger,Disk  Full;  Disk  R/W  Error;  IP  Address  Conflict
Linkage  Method,trigger sound; trigger warmlight; trigger recording; trigger capture; notify surveillance  center
Auto-Tracking,Auto-Tracking
Network,Network
ANR,Yes
Protocols,HTTP; TCP/IP; UDP; ICMP; DHCP; DNS; NTP; IPv4; SSH; Unicast; RTSP;  FTP
System  Compatibility,ONVIF  Profile  S/T/G;  CGI;  Milestone
Remote  Connection,≤2
Client,Easy7  Smart  Client
Moblie  Client,EasyLive  Plus
Wi-  Fi,Wi-  Fi
Transmission  distance,Up tp 30m( based on actual  environment)
Wireless  standard,IEEE802.11b/  802.11g/802.11n
Frequency  range,2.4 GHz ~ 2.4835  GHz
Channel  bandwidth,20/40MHz
Wi-Fi  security,WPA-PSK/WPA2-  PSK
Interface,Interface
Communication  Interface,"1*RJ-45,10/100 Mbps self-adaptive Ethernet  port"
Reset  Button,Yes
On-board  storage,"Support microSD/microSDHC/microSDXC card, up to 512  GB"
General,General
Web  Client  Language,3  languages  Simple  Chinese/English/Vietnamese
Operating  Temperature,-10℃~45℃(No  turning  on  the  light)
Operating  Humidity,Humidity 95% or less (no  condensation)
Storage  Temperature,-  10℃~45℃
Storage  Humidity,Humidity 95% or less (no  condensation)
Power  Supply,"DC12V±25%,MAX  6W"
Protection,Surge500V;  ESD6000V
Boundary  Dimensions,80(L)80W)113(H)mm
Package  Dimensions,97(L)97(W)165(H)mm
GrossWeight,0.38kg


Date,Title,Type
2024-05-08,1D.20010.021023_TC-H322N I2WWIFI4mmV4.1_en,pdf
