产品网址：http://en.tiandy.com/index.php?s=/Home/Product/lists/category/265.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|2MP Fixed Starlight IR Bullet Camera|TC-C32WS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Fixed Starlight IR Bullet Camera|TC-C32WS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Starlight Motorized IR Bullet Camera|TC-C32TS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Super Starlight Motorized IR Bullet Camera|TC-C32TP|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.0004Lux@(F1.3,AGC ON),B/W:0Lux with IR|
|2MP Fixed Starlight IR Turret Camera|TC-C32XS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Motorized Starlight IR Dome Camera|TC-C32SS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Mini Dome Camera|TC-C32PS|Metal Housing，Up to 1920x1080@30fps，S+265/H.265/H.264/M-JPEG|
|2MP Mini Dome Camera|TC-C32PS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Motorized Starlight IR Bullet Camera|TC-C32US|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|2MP Starlight Motorized IR Dome Camera|TC-C32MS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
