产品网址：https://www.tiandy.com/product/AIsxj/rcx
产品结构：root->热成像-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|200 万暖光定焦电动车检测专用警戒半球|TC-C52SW 配置：I3W/E/Y/2.8mm/DT|无|
|500 万超星光变焦车辆抓拍一体机|TC-A55L7 配置：2/A/E/2.8-12mm|无|
|1200 万星光级全景鱼眼网络摄像机|TC-NC9201S3E-12MP-I2|无|
|500 万星光定焦火点检测专用一体机|TC-C55LQ 配置：I5W/E/Y/HD/4mm|无|
|500 万超星光定焦高空抛物专用一体机|TC-C55BP 配置：E/Y/PW/(4/6/8)mm|无|
|500 万主动智能一体机|TC-C55BQ 配置：I5W/E/Y/(4/6/8)mm|无|
|200 万星光定焦智能警戒一体机|TC-C52BQ 配置：I5W/E/Y/(4/6/8)mm|无|
|500 万主动智能半球|TC-C55SQ 配置：I3W/E/Y/(2.8/4/6)mm|无|
|200 万星光定焦智能警戒半球|TC-C52SQ 配置：I3W/E/Y/(2.8/4/6)mm|无|
|500 万星光变焦高空抛物专用一体机|TC-C55BS 配置：E/Y/PW/2.8-12mm|无|
|200 万定焦防暴电动车检测半球|TC-C52PS 配置：I3W/E/Y/(2/2.8)mm/DT|无|
|500 万定焦防暴电动车检测半球|TC-C55PS 配置：I3W/E/Y/(2/2.8)mm/DT|无|
