产品网址：https://www.tiandy.com/product/AIsxj/dcj
产品结构：root->多场景-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|500 万星光定焦红外人脸抓拍一体机|TC-C55BS 配置：I8/E/(4/6/8)mm|无|
|500 万星光定焦红外人脸抓拍半球|TC-C55SS 配置：I3/E/(2.8/4/6)mm|无|
|200 万星光人脸抓拍枪机|TC-C52AS 配置：E/V4.1|无|
|500 万超星光人脸抓拍枪机|TC-C55AS 配置：E/V4.1|无|
|800 万星光变焦人脸抓拍一体机|TC-C58TS 配置：I8/A/E/2.7-13.5mm|无|
|800 万星光变焦人脸抓拍半球|TC-C58MS 配置：I5/A/E/2.7-13.5mm|无|
|200 万暖光定焦人脸抓拍警戒一体机|TC-C52BW 配置：I5W/E/Y/(4/6/8)mm|无|
|500 万暖光定焦人脸抓拍警戒一体机|TC-C55BW 配置：I5W/E/Y/(4/6)mm|无|
|500 万暖光定焦人脸抓拍警戒半球|TC-C55SW 配置：I3W/E/Y/(2.8/4)mm|无|
|200 万星光变焦全光谱人脸抓拍一体机|TC-C52LS 配置：I5W/A/E/2.8-12mm|无|
|200 万星光变焦红外人脸抓拍防暴半球|TC-C52MS 配置：I3/A/E/2.8-12mm|无|
|500 万星光变焦全光谱人脸抓拍一体机|TC-C55LS 配置：I5W/A/E/2.8-12mm|无|
