产品网址：https://www.tiandy.com/product/hdccsb
产品结构：root->后端存储产品-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|4 路 1 盘位 PoE NVR|TC-R1104 配置:AK/P4|无|
|8 路 1 盘位 PoE NVR|TC-R1108 配置:AK/P8|无|
|10 路 1 盘位 NVR|TC-R5110 配置:I/B/N|无|
|20 路 2 盘位 NVR|TC-R5220 配置:I/B/N|无|
|20 路 4 盘位 NVR|TC-R5420 配置:I/B/N|无|
|32 路 4 盘位 NVR|TC-R5432 配置:I/B/N|无|
|32 路 8 盘位 NVR|TC-R5832 配置:I/B/N|无|
|40 路 4 盘位 NVR|TC-R5440 配置:I/B/N|无|
|80 路 8 盘位 NVR|TC-R5880 配置:I/B/N|无|
|40 路 8 盘位 NVR|TC-R5840 配置:I/B/N|无|
|40 路 16 盘位 NVR|TC-R51640 配置:E/B/N|无|
|160 路 16 盘位 NVR|TC-R516160 配置:E/B/N|无|
