产品网址：http://en.tiandy.com/index.php?s=/Home/Product/lists/category/262.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|4MP Fixed Color Maker Bullet Camera|TC-C34UV|Metal housing，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG，Color:0.0001Lux@(F1.0,AGC ON),B/W:0Lux with IR|
|4MP Fixed Color Maker Turret Camera|TC-C34XP|Metal+plastic housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|4MP Fixed Color Maker IR Bullet Camera|TC-C34WS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed Color Maker IR Bullet Camera|TC-C34WS|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed Color Maker IR Turret Camera|TC-C34XS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed Color Maker IR Turret Camera|TC-C34XS|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed Color Maker Bullet Camera|TC-C34WP|Metal+plastic housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|4MP Fixed Color Maker IR Bullet Camera|TC-C34WS|Metal+plastic housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
|4MP Fixed Color Maker Bullet Camera|TC-C34WP|Metal+plastic housing，Up to Max. Resolution，S+265/H.265/H.264B/H.264M/H.264H|
|4MP Fixed Color Maker IR Bullet Camera|TC-C34WS|Metal housing，S+265/H.265/H.264B/H.264M/H.264H，Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR|
