产品网址：http://en.tiandy.com/index.php?s=/Home/Feature/lists/category/79.html#
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|2MP 25× Starlight IR PTZ Camera|TC-H324S|Up to 1920X1080@30fps，0.001Lux@F1.5，Optical zoom: 25×, digital zoom 16×，Smart IR, IR Range: 150m，S+265/H.265/H.264/M-JPEG|
|2MP 25× Starlight IR PoE AI PTZ Camera|TC-H326S|Up to 1920X1080@30fps，0.001Lux@F1.5，Optical zoom: 25×，Smart IR, IR Range: 150m，S+265/H.265/H.264/M-JPEG，IP66|
|2MP 25× Starlight IR PTZ Camera|TC-H324S|Up to 1920X1080@30fps，0.001Lux@F1.5，Optical zoom: 25×, digital zoom 16×，Smart IR, IR Range: 150m，S+265/H.265/H.264/M-JPEG|
|2MP 25× Starlight IR PoE AI PTZ Camera|TC-H326S|Up to 1920X1080@30fps，0.001Lux@F1.5，Optical zoom: 25×，Smart IR, IR Range: 150m，S+265/H.265/H.264/M-JPEG，IP67|
|2MP 25× Starlight IR AI PTZ Camera|TC-H324S|Up to 1920X1080@30fps，0.001Lux@F1.5，Optical zoom: 25×, digital zoom 16×，Smart IR, IR Range: 150m，S+265/H.265/H.264/M-JPEG|
|2MP 25× Starlight IR PTZ Camera|TC-H324S|Up to 1920×1080@30fps，Min. illumination Color: 0.001Lux@F1.5，Optical zoom: 25×, digital zoom 16×，Smart IR, IR Range: 150m|
|2MP 23× Starlight IR  PTZ Camera|TC-H324S|Up to 1920×1080@25fps，Color: 0.001lux@ (F1.5, AGC ON), B/W: 0lux with IR，S+265/H.265/H.264/M-JPEG|
|2MP 23× Starlight IR  PTZ Camera|TC-H324S|Up to 1920×1080@25fps，Color: 0.001lux@ (F1.5, AGC ON), B/W: 0lux with IR，S+265/H.265/H.264/M-JPEG|
|2MP 25× Starlight IR  PTZ Camera|TC-H324S|Up to 1920×1080@25fps，Color: 0.001lux@ (F1.5, AGC ON), B/W: 0lux with IR，S+265/H.265/H.264/M-JPEG|
|2MP 33× Starlight IR POE AI  PTZ Camera|TC-H326S|Up to 1920×1080@25fps，Color: 0.001lux@ (F1.6, AGC ON), B/W: 0lux with IR，S+265/H.265/H.264/M-JPEG|
