产品网址：https://www.eta-semi.com/product-cat/dc-dc%e5%8a%9f%e7%8e%87%e8%bd%ac%e6%8d%a2%e5%99%a8/%e9%99%8d%e5%8e%8b%ef%bc%88buck%ef%bc%89%e7%a8%b3%e5%8e%8b%e5%99%a8
产品结构：首页->DC-DC功率转换器->降压（Buck）稳压器

|产品名称|产品型号|功能描述|
|--|--|--|
|降压（Buck）稳压器|无|无|

Description,Architecture,Vin Min(V),Vin Max(V),Vout Min(V)
17V/6A Sync. Buck,Sync.COT,4.5,17.0,0.6
18V/3A Sync. Buck,Sync.COT,4.5,18.0,0.806
3 channels 5.5V/3.5A Sync. Buck,Sync.COT,2.6,5.5,0.45
3 channels 5.5V/1.5A Sync. Buck,Sync.,2.6,5.5,0.6
18V/2A Sync. Buck,Sync.COT,4.5,18.0,0.6
Dual 18V/2A Sync. Buck,Sync.COT,3.5,18.0,0.6
18V/2A Sync. Buck,Sync.COT,4.5,18.0,0.6
18V/2A Sync. Buck,Sync.COT,4.5,18.0,0.6
18V/2A Sync. Buck,Sync.COT,4.0,18.0,0.6
17V/6A Sync. Buck,Sync.COT,4.5,17.0,0.6
18V/3A Sync. Buck,Sync.COT,4.0,18.0,0.6
18V/2A Sync. Buck,Sync.,4.2,18.0,0.8
18V/2A Sync. Buck,Sync.COT,4.5,18.0,0.6
"360nA Iq, 5.5V/0.5A Sync. Buck",Sync.COT,2.1,5.5,0.7
18V/2A Sync. Buck,Sync.COT,3.5,18.0,0.6
18V/3A Sync. Buck,Sync.COT,4.5,18.0,0.603
18V/2A Sync. Buck,Sync.COT,3.5,18.0,0.6
18V/3A Sync. Buck,Sync.COT,4.0,18.0,0.6
5.5V/3A Sync. Buck,Sync.,3.6,6.0,0.8
6V/1A Sync. Buck,Sync.,2.6,6.0,0.6
"360nA Iq, 5.5V/1A Sync. Buck",Sync.COT,2.1,5.5,1.2
5.5V/5A Sync. Buck w.ADI,"ADI, Sync.COT",2.5,5.5,0.6
