产品网址：https://www.eta-semi.com/product-cat/%e6%8e%a5%e5%8f%a3%e4%bf%9d%e6%8a%a4/%e9%99%90%e6%b5%81%e5%bc%80%e5%85%b3
产品结构：首页->接口保护->限流开关

|产品名称|产品型号|功能描述|
|--|--|--|
|限流开关|无|无|

Description,Architecture,Vin Min(V),Vin Max(V),Foldback Voltage(V),Iout Max(A)
2.2A USB Power Switch,High Side Switch,2.1,6.0,1,2.2
2.2A USB Power Switch,High Side Switch,2.1,6.0,1,2.2
3.5A USB Power Switch,Low Side Switch,2.5,5.5,1,3.5
1.2A USB Power Switch,High Side Switch,8.5,24.0,VIN-2.5,1.2
2.2A USB Power Switch,High Side Switch,2.1,6.0,1,2.2
2.2A USB Power Switch,High Side Switch,2.1,6.0,1,2.2
2.2A USB Power Switch,High Side Switch,2.1,6.0,1,2.2
2.2A USB Power Switch,High Side Switch,2.1,6.0,1,2.2
2.2A USB Power Switch,High Side Switch,2.1,6.0,1,2.2
2.2A USB Power Switch,High Side Switch,2.1,6.0,1,2.2
2.2A USB Power Switch,High Side Switch,2.1,6.0,1,2.2
