产品网址：http://www.sdkddx.com/product/9.html?productCateId=11
产品结构：root->金合金丝_山东科大鼎新电子科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|金合金丝|HP-AU01、HP-AU02|低成本的金合金键合丝，可靠性高于银合金键合丝，具有优异的物理性能，第一焊点和第二焊点工艺窗口比铜线、银合金线大，UPH 和金线一样|

科大鼎新半导体键合金丝标准,科大鼎新半导体键合金丝标准.1,科大鼎新半导体键合金丝标准.2,科大鼎新半导体键合金丝标准.3,科大鼎新半导体键合金丝标准.4,科大鼎新半导体键合金丝标准.5
直径Dia,直径Dia,机械性能 properties,机械性能 properties,机械性能 properties,机械性能 properties
直径Dia,直径Dia,延伸率 EL（%）,延伸率 EL（%）,拉断力BL（CN）,拉断力BL（CN）
um,mil,HP-AU01,HP-AU02,HP-AU01,HP-AU02
15,0.6,6-15,6-15,＞3,＞3
16,0.63,6-15,6-15,＞3,>3
17,0.67,6-15,6-15,＞3,＞3
18,0.7,6-15,6-15,＞5,＞4
19,0.75,6-15,6-15,＞5,＞4
20,0.8,6-16,6-16,＞6,＞5
23,0.9,6-16,6-16,＞7,＞6
25,1.0,6-20,6-20,＞10,＞9
27,1.06,6-20,6-20,＞10,＞9
28,1.1,6-20,6-20,＞11,＞10
30,1.2,6-20,6-20,＞12,＞10
33,1.3,6-20,6-20,＞12,＞10
35,1.4,6-20,6-20,＞14,＞12
37,1.45,6-20,6-20,＞14,＞12
38,1.5,6-20,6-20,＞16,＞14
40,1.6,6-20,6-20,＞17,＞15
42,1.65,6-20,6-20,＞17,＞15
45,1.8,6-20,6-20,＞20,＞18
50,2.0,6-20,6-20,＞22,＞20
