产品网址：http://www.sdkddx.com/product/11.html
产品结构：root->镀金银丝_山东科大鼎新电子科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|镀金银丝|KDAS01、KDAS02|专门针对各种 LED 发光管封装而研发的 LED 银键合丝。经过添加微量元素以及特殊的工艺处理，提高银的高度，性能稳定。表面镀金具有优异表面抗氧化特效，有效阻止银迁移。具有和键合金丝相同健合压焊参数，应用简单。成本低廉，价格竞争优势明显。|

直径Dia,直径Dia.1,机械性能 properties,机械性能 properties.1,机械性能 properties.2,机械性能 properties.3
直径Dia,直径Dia,延伸率 EL（%）,延伸率 EL（%）,拉断力BL（CN）,拉断力BL（CN）
um,mil,KDAS01,KDAS02,KDAS01,KDAS02
15,0.6,2-8,2-8,>2.5,>2.5
16,0.63,2-8,2-8,>2.5,>2.5
17,0.67,2-8,2-8,>2.5,>3
18,0.7,2-8,2-8,>2.5,>3
19,0.75,2-8,2-8,>2.5,>3
20,0.8,2-10,2-8,>4,>4
23,0.9,2-12,2-8,>5,>6
25,1,2-12,2-8,>7,>8
27,1.06,2-12,2-8,>8,>9
28,1.1,2-12,2-8,>8,>9
30,1.2,2-14,2-10,>11,>12
33,1.3,2-14,2-10,>12,>13
35,1.4,2-14,2-10,>12,>13
37,1.45,2-14,2-10,>15,>16
38,1.5,2-16,2-12,>17,>18
40,1.6,2-16,2-12,>18,>20
42,1.65,2-16,2-12,>18,>20
45,1.8,2-16,2-12,>18,>20
50,2.0,3-18,3-10,>20,>25
