产品网址：http://www.sdkddx.com/product/12.html
产品结构：root->合金丝_山东科大鼎新电子科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|合金丝|KDSA01、KDSA02、KDSA03|银对可见光的反射达到 90%以上，居所有金属之冠，对 LED 有增光效应；银线的熔断电流比金线提高大约 5-10%；银合金线物理性能优于纯金线；易于管理，不易遗失；比铜线更容易储存；不需要气体保护，减少客户生产成本；性价比高，比金线的采购成本下降 50-80%；在干净的空气中不氧化|

合金线产品机械性能  Mechanical properties of Au-Ag alloy wires,合金线产品机械性能  Mechanical properties of Au-Ag alloy wires.1,合金线产品机械性能  Mechanical properties of Au-Ag alloy wires.2,合金线产品机械性能  Mechanical properties of Au-Ag alloy wires.3,合金线产品机械性能  Mechanical properties of Au-Ag alloy wires.4,合金线产品机械性能  Mechanical properties of Au-Ag alloy wires.5,合金线产品机械性能  Mechanical properties of Au-Ag alloy wires.6,合金线产品机械性能  Mechanical properties of Au-Ag alloy wires.7
直径Dia,直径Dia,机械性能 properties,机械性能 properties,机械性能 properties,机械性能 properties,机械性能 properties,机械性能 properties
直径Dia,直径Dia,延伸率 EL（%）,延伸率 EL（%）,延伸率 EL（%）,拉断力BL（CN）,拉断力BL（CN）,拉断力BL（CN）
um,mil,KDSA01,KDSA02,KDSA03,KDSA01,KDSA02,KDSA03
15,0.6,2-8,2-8,2-8,＞2.5,＞2.5,＞3
16,0.63,2-8,2-8,2-8,＞2.5,＞2.5,＞3
17,0.67,2-8,2-8,2-8,＞2.5,＞3,＞4
18,0.7,2-8,2-8,2-8,＞2.5,＞3,＞4
19,0.75,2-8,2-8,2-8,＞2.5,＞3,＞5
20,0.8,2-10,2-8,2-8,＞4,＞4,＞6
23,0.9,2-12,2-8,2-8,＞5,＞6,＞8
25,1.0,2-12,2-8,2-8,＞7,＞8,＞10
27,1.06,2-12,2-8,2-8,＞8,＞9,＞12
28,1.1,2-12,2-8,2-8,＞8,＞9,＞12
30,1.2,2-14,2-10,2-10,＞11,＞12,＞14
33,1.3,2-14,2-10,2-10,＞12,＞13,＞15
35,1.4,2-14,2-10,2-10,＞12,＞13,＞15
37,1.45,2-14,2-10,2-10,＞15,＞16,＞17
38,1.5,2-16,2-12,2-10,＞17,＞18,＞20
40,1.6,2-16,2-12,2-10,＞18,＞20,＞20
42,1.65,2-16,2-12,2-10,＞18,＞20,＞25
45,1.8,2-16,2-12,2-10,＞18,＞20,＞25
50,2.0,3-18,3-10,3-10,＞20,＞25,＞30
