产品网址：http://www.brigates.com/product/65.html
产品结构：root->Venus_16K-锐芯微电子股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|Venus_16K|Venus_16K|使用了 CMOS-ECCD 技术，兼具 CCD TDI 传感器的高灵敏度、高信噪比和 CMOS-TDI 传感器的高速度、低功耗、系统简化的优点|

分辨率,分辨率.1,16 K,16 K.1,像素大小,BSI 5 μm(H)×5 μm(V),BSI 5 μm(H)×5 μm(V).1
积分级数,积分级数,1~256级,1~256级,积分方向,双向积分,双向积分
最高行频,最高行频,250 KHz,250 KHz,光滤阵列,B/W,B/W
CTE,CTE,0.99995,0.99995,满井容量,高灵敏度模式：7 Ke-,高灵敏度模式：7 Ke-
CTE,CTE,0.99995,0.99995,满井容量,低灵敏度模式：20 Ke-,低灵敏度模式：20 Ke-
responsivity@530nm(单极),responsivity@530nm(单极),高灵敏度模式：340 DN/nJ/cm  2,高灵敏度模式：340 DN/nJ/cm  2,动态范围,高灵敏度模式：67 dB,高灵敏度模式：67 dB
responsivity@530nm(单极),responsivity@530nm(单极),低灵敏度模式：80 DN/nJ/cm  2,低灵敏度模式：80 DN/nJ/cm  2,动态范围,低灵敏度模式: 65 dB,低灵敏度模式: 65 dB
输出接口,输出接口,Serdes串行接口,Serdes串行接口,数据格式,12 bits/10 bits RAW,12 bits/10 bits RAW
供电,VDD12,1.15 V~1.32 V,1.15 V~1.32 V,功耗,1.6 W@200 K-12 bit-8 K,1.6 W@200 K-12 bit-8 K
供电,VDA12,1.15 V~1.32 V,1.15 V~1.32 V,功耗,1.6 W@200 K-12 bit-8 K,1.6 W@200 K-12 bit-8 K
供电,VLDOIN,3.30 V~3.60 V,3.30 V~3.60 V,功耗,1.6 W@200 K-12 bit-8 K,1.6 W@200 K-12 bit-8 K
供电,VN,-0.5 V~-2.0 V,-0.5 V~-2.0 V,功耗,1.6 W@200 K-12 bit-8 K,1.6 W@200 K-12 bit-8 K
结温范围,结温范围,-30~50 ℃,-30~50 ℃,封装方式,COB,COB
