产品网址：http://www.anguangic.com/Product/list_2.html
产品结构：root->产品中心_广州安广电子科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|蜡烛灯芯片|1501|无|
|蜡烛灯芯片|AD18|无|
|AD009-05EL|AD009-05EL|是一款带红外学习与发射功能的 MCU，内置学习电路、IR 驱动电路和高精度 RC 振荡电路；包含 6KB OTP ROM,256B SRAM，并内建 MTP ROM 来存储学习数据|
|AD009-05E|AD009-05E|是一款带红外学习与发射功能的 8 位 OTP 型 MCU，内置红外学习电路、驱动电路和高精度 RC 振荡电路，包含 6KB OTP ROM，并内建 MTP ROM 来存储学习波形，永不掉码|
|AD009-03F|AD009-03F|是一款带红外学习与发射功能的 MCU，内置学习电路、IR 驱动电路和高精度 RC 振荡电路；包含 8KW OTP ROM,210B SRAM，并内建 MTP ROM 来存储学习数据|
|W1620|W1620|是 LED（发光二极管显示器）驱动控制专用电路，内部集成有 MCU 数字接口、数据锁存器、LED 高压驱动等电路|
|W1640|W1640|是一种 LED（发光二极管显示器）驱动控制专用电路，内部集成有 MCU 数字接口、数据锁存器、LED 高压驱动等电路|
|W1638|W1638|是带键盘扫描接口的 LED 驱动专用电路，内置键盘扫描接口，MCU 数字接口、数据锁存器等电路|
|W1628|W1628|是一种带键盘扫描接口的 LED（发光二极管显示器）驱动控制专用电路，内部集成有 MCU 数字接口、数据锁存器、LED 高压驱动、键盘扫描等电路|
|W1621|W1621|是一种 128 点阵式存储映射多功能 LCD 驱动电路，具有节电功能|
