产品网址：https://www.primarius-tech.com/en/products/engineering_service/SPICE-Modelingen.html
产品结构：root->PRIMARIUS-ModelExtraction&QA

|产品名称|产品型号|功能描述|
|----|----|----|
|SPICE 模型|无|无|
|BSIMProPlus|无|无|
|MeQLab|无|无|
|SDEP|无|无|
|ME-Pro|无|无|
|PCellLab|无|无|
|PQLab|无|无|
|NanoCell|无|无|
|LibWiz|无|无|
|NanoDesigner SE|无|无|
|NanoDesigner LS|无|无|
|NanoDesigner iV|无|无|
|NanoDesigner Optimizer|无|无|
|NanoSpice|无|无|
|NanoSpice X|无|无|
|NanoSpice Giga|无|无|
|NanoSpice Pro|无|无|
|NanoSpice Pro X|无|无|
|NanoSpice MS|无|无|
|NanoWave|无|无|
|NanoYield|无|无|
|NanoSpice SI|无|无|
|PathInspector|无|无|
|PTM|无|无|
|ESDi|无|无|
|VeriSim|无|无|
|TRASTA|无|无|
|NavisPro|无|无|
|PadInspector|无|无|
|FS-Pro|无|无|
|9812DX|无|无|
|9812E|无|无|
|9813DXC|无|无|
|9812AC|无|无|
|Data Acquisition & Characterization|无|无|
|Model Extraction & QA|无|无|
|Testkey Design & Layout|无|无|
|New Device Solutions|无|无|
|Development & Verification|无|无|
|Characterization & Development|无|无|
