产品网址：https://www.embedway.com.cn/product/detail/491
产品结构：智能系统平台->智能网络->网络安全平台->FW1700系列

|产品名称|产品型号|功能描述|
|----|----|----|
|网络安全平台|FW1700 系列|飞腾 4 核 FT-2000/4 处理器，主频 2.6GHz / 飞腾 8 核 D2000 处理器，主频 2.3GHz；2 个 DDR4-UDIMM 内存插槽，最大支持到 64GB；集成 6 个千兆电口，4 个千兆光口，支持 2 对电口 Bypass；支持 2 个网络扩展插槽，可扩展至 26 个网口；1 x RJ45 串口，2 x USB3.0；1 x CF，1 x mSATA，3x SATA|

形态,1U标准机架式
处理器,FT-2000/4处理器(4个Core，2.6 GHz)  Ｄ2000处理器(8个Core，2.3 GHz)
内存,2个UDIMM DDR4槽位，最大支持容量64GB
扩展槽,内部：1路PCIe3.0x8扩展槽，1路miniPCIe板载插槽  面板：1路PCIe3.0x8扩展槽
存储,3个SATA3.0接口 ； 1个CF卡接口 ； 1路mSATA
网络,6路RJ45千兆电口（可支持2路Bypass）  4路千兆SFP光口
USB,2路USB 3.0
串口,1路RJ45串口
操作系统,银河麒麟、UOS
电源,ATX冗余电源设计，100 ~ 240 VAC/50 ~ 60Hz
尺寸,500mm x 435mm x 44mm
环境,工作环境温度：0 ~ 40ºC ；存储环境温度：-40 ~ 70ºC
选配件,支持4电、4光、8光、8电、4电4光、4万兆，2 x 40G等扩展卡
