产品网址：http://www.samkoon.com.cn/product
产品结构：root->显控科技

|产品名称|产品型号|功能描述|
|----|----|----|
|人机交互单元|EA 系列 HMI|无|
|人机交互单元|SK 系列 HMI|无|
|人机交互单元|AK 系列 HMI|无|
|人机交互单元|SA 系列 HMI|无|
|控制单元|FAs 系列 PLC|无|
|控制单元|FAT 系列 PLC|无|
|控制单元|PRO 系列总线型 PLC|无|
|控制单元|MINI 型 PLC|无|
|控制单元|FGs 系列 PLC|无|
|控制单元|一体机(HMI+PLC)|无|
|控制单元|运动控制型 PLC|无|
|控制单元|运动控制器|无|
|控制单元|S 系列扩展模块|无|
|控制单元|F 系列扩展插件|无|
|驱动单元|R8 系列伺服驱动器|无|
|驱动单元|HK 系列伺服电机|无|
|驱动单元|两相开环步进电机|无|
|驱动单元|两相闭环步进电机|无|
|驱动单元|开环步进驱动器|无|
|驱动单元|闭环步进驱动器|无|
|远程模块|远程控制器|无|
|远程模块|显控云平台|无|
|远程模块|物联扩展模块|无|
