产品网址：http://www.shwonsung.com/kr/product_detail.aspx?id=173
产品结构：root->제품소개-상해만생합금재료유한책임회사

|产品名称|产品型号|功能描述|
|----|----|----|
|은 합금 본딩와이어|无|저항이 낮고 전도성이 좋다<br>원가 낮음<br>신뢰성 높고 본딩성 좋다<br>수명이 길다<br>짧은 파장 분야에 반사율이 우수함<br>부드러운 FAB|

종류,특징,적용 범위
WS-SAG9,"软 반사율 우수함 , 소프트하다.","QFP、BGA、Discrete、SOP、QFN、TSOP、SOT, LED PACKAGE"
WS-HGS8,고성능,"QFP、BGA、Discrete、SOP、QFN、TSOP、SOT, LED PACKAGE"
WS-SAG5,저항이 낮음,"QFP、BGA、Discrete、SOP、QFN、TSOP、SOT, LED PACKAGE"
WS-SAG2,부드러운 FAB,"QFP、BGA、Discrete、SOP、QFN、TSOP、SOT, LED PACKAGE"


직경,직경.1,연신률(%),연신률(%).1,연신률(%).2,연신률(%).3,파단강도(gf),파단강도(gf).1,파단강도(gf).2,파단강도(gf).3
mil,um,WS-SAG9,WS-HGS8,WS-SAG5,WS-SAG2,WS-SAG9,WS-HGS8,WS-SAG5,WS-SAG2
0.6,15,5-10,2-9,5-10,5-10,>3.0,>4.0,>3.5,>4.0
0.7,18,7-13,2-9,7-13,7-13,>4.0,>4.0,>4.0,>5.0
0.8,20,7-13,2-9,7-13,7-13,>6.0,>6.0,>6.0,>6.0
0.9,23,7-13,2-9,7-13,7-13,>8.0,>8.0,>8.0,>8.0
1.0,25,7-13,2-9,7-13,7-13,>10.0,>10.0,>10.0,>10.0
1.2,30,8-15,3-12,8-15,8-15,>14.0,>13.0,>13.0,>15.0


Main Purity,Main Purity.1,Ag 99%,Ag97%,Ag95%,Ag92%,Ag88%
Wire Type,Wire Type,SAG9,SAG7,SAG5,SAG2,HGS8
Hardness(Hv),FAB,35 ~ 45,40 ~ 50,45 ~ 55,45-55,45 ~ 55
,Wire,45 ~ 55,50 ~ 60,55 ~ 65,55-68,60 ~ 70
"Fusing Current(A)(±0.02A,Length=10mm)","Fusing Current(A)(±0.02A,Length=10mm)",0.29 ~ 1.20,0.30 ~ 1.25,0.31 ~ 1.34,0.31-1.31,0.31 ~ 1.32
Resistivity(uΩ Cm),Resistivity(uΩ Cm),2.2,3.1,3.2,3.9,4.6
Recrystalization Temp.(℃),Recrystalization Temp.(℃),410~480,410~480,410~480,410~480,410~480
Elastic Modulus(Gpa),Elastic Modulus(Gpa),75 ~ 90,75 ~ 90,75 ~ 90,75 ~ 90,75 ~ 90
Melting Point(℃),Melting Point(℃),980 ~ 1010,980 ~ 1010,980 ~ 1010,980 ~ 1010,980 ~ 1010
Density(gr/㎤),Density(gr/㎤),10.31,10.61,10.63,10.68,10.94
Cofficient of Linear thermal Expansion(20~100℃),Cofficient of Linear thermal Expansion(20~100℃),18~20 x 10-6,18~20 x 10-6,18~20 x 10-6,18~20 x 10-6,18~20 x 10-6
Shelf Life(From data of Manufacturing/day),Shelf Life(From data of Manufacturing/day),12Months,12Months,12Months,12Months,12Months
Floor Life(Opened from barrier bag),Floor Life(Opened from barrier bag),2Weeks,2Weeks,2Weeks,12Months,2Weeks


FBump Ball Application/植球
Ag Alloy Wire/银合金线
