产品网址：https://www.dkpower.cn/BV45VProduct.html
产品结构：首页->产品中心->SR同步整流系列->BV45VProduct

|产品名称|产品型号|功能描述|
|----|----|----|
|BV 45V Product|无|无|

Product,Characteristics,BV,RDS(on),Topology,VDD Operation Voltage,Output Power,Operating Mode,Package
DK5V45R05VL,SR Converter,45V,5mΩ,PSR/SSR,5.1V,"5V,5A",DCM/QR/CCM,TO-252
DK5V45R05SL,SR Converter,45V,5mΩ,PSR/SSR,5.5V,"5V,4.8A",DCM/QR/CCM,TO-252
DK5V45R10VL,SR Converter,45V,10mΩ,PSR/SSR,5.1V,"5V, 4.3A",DCM/QR/CCM,TO-252
DK5V45R10SL,SR Converter,45V,10mΩ,SSR,5.5V,"5V, 4.3A",DCM/QR/CCM,TO-252
DK5V45R05VT1,SR Converter,45V,5mΩ,PSR/SSR,5.1V,"5V, 6A",DCM/QR/CCM,TO-220F
DK5V45R05ST1,SR Converter,45V,5mΩ,SSR,5.5V,"5V,5.5A",DCM/QR/CCM,TO-220F
DK5V45R10VT1,SR Converter,45V,10mΩ,PSR/SSR,5.1V,"9V, 5A",DCM/QR/CCM,TO-220F
DK5V45R10ST1,SR Converter,45V,10mΩ,SSR,5.5V,"5V,5A",DCM/QR/CCM,TO-220F
DK5V45R15ST1,SR Converter,45V,15mΩ,SSR,5.5V,"5V,4A",DCM/QR/CCM,TO-220F
DK5V45R15VT1,SR Converter,45V,15mΩ,PSR/SSR,5.1V,"5V,4A",DCM/QR/CCM,TO-220F
DK5V45R05VM,SR Converter,45V,5mΩ,PSR/SSR,5.1V,"5V,5A",DCM/QR/CCM,SM-10
DK5V45R05M,SR Converter,45V,5mΩ,SSR,5.5V,"5V,4.8A",DCM/QR/CCM,SM-10
DK5V45R10VM,SR Converter,45V,10mΩ,PSR/SSR,5.1V,"5V,4A",DCM/QR/CCM,SM-10
DK5V45R10M,SR Converter,45V,10mΩ,SSR,5.5V,"5V,4.3A",DCM/QR/CCM,SM-10
DK5V45R10VP,SR Converter,45V,10mΩ,PSR/SSR,5.1V,"5V, 4A",DCM/QR/CCM,SOP-8
DK5V45R15VP,SR Converter,45V,15mΩ,PSR/SSR,5.1V,5V 3A,DCM/QR/CCM,SOP-8
DK5V45R20HP,SR Converter,45V,20mΩ,PSR/SSR,5.1V,5V 2.4A,DCM/QR/CCM,SOP-8
DK5V45R25HP,SR Converter,45V,25mΩ,PSR/SSR,5.1V,5V 2A,DCM/QR/CCM,SOP-8
DK5V45R25P,SR Converter,45V,25mΩ,PSR,5V,"5V,2A",DCM/QR,SOP8
DK5V45R10V,SR Converter,45V,10mΩ,PSR/SSR,5.1V,"5V, 4A",DCM/QR/CCM,SM-7（兼容TO-277）
DK5V45R10S,SR Converter,45V,10mΩ,PSR/SSR,5.5V,"5V,4A",DCM/QR/CCM,SM-7（兼容TO-277）
DK5V45R10H,SR Converter,45V,10mΩ,PSR,7.6V,"5V,4.1A",DCM/QR,SM-7（兼容TO-277）
DK5V45R15V,SR Converter,45V,15mΩ,PSR/SSR,5.1V,"5V,3A",DCM/QR/CCM,SM-7（兼容TO-277）
