产品网址：https://www.dkpower.cn/BV60VProduct.html
产品结构：首页->产品中心->SR同步整流系列->BV60VProduct

|产品名称|产品型号|功能描述|
|----|----|----|
|BV 60V Product|无|无|

Product,Characteristics,BV,RDS(on),Topology,VDD Operation Voltage,Output Power,Operating Mode,Package
DK5V60R10VL,SR Converter,60V,10mΩ,PSR/SSR,5.1V,"9V, 4.3A",DCM/QR/CCM,TO-252
DK5V60R10SL,SR Converter,60V,10mΩ,PSR/SSR,5.5V,"9V, 4.3A",DCM/QR/CCM,TO-252
DK5V60R15VL,SR Converter,60V,15mΩ,PSR/SSR,5.1V,"9V, 3.3A",DCM/QR/CCM,TO-252
DK5V60R15SL,SR Converter,60V,15mΩ,PSR/SSR,5.5V,"9V, 3.3A",DCM/QR/CCM,TO-252
DK5V60R05VT1,SR Converter,60V,5mΩ,PSR/SSR,5.1V,"9V, 5.5A",DCM/QR/CCM,TO-220F
DK5V60R05ST1,SR Converter,60V,5mΩ,PSR/SSR,5.5V,"9V, 5.5A",DCM/QR/CCM,TO-220F
DK5V60R10VT1,SR Converter,60V,10mΩ,PSR/SSR,5.1V,"9V, 5A",DCM/QR/CCM,TO-220F
DK5V60R10ST1,SR Converter,60V,10mΩ,PSR/SSR,5.5V,"9V, 5A",DCM/QR/CCM,TO-220F
DK5V60R30ST1,SR Converter,60V,30mΩ,PSR/SSR,5.5V,"9V, 2A",DCM/QR/CCM,TO-220F
DK5V60R30HT1,SR Converter,60V,30mΩ,PSR/SSR,5.1V,"9V,2A",DCM/QR/CCM,TO-220F
DK5V60R10VM,SR Converter,60V,10mΩ,PSR/SSR,5.1V,"9V, 4A",DCM/QR/CCM,SM-10
DK5V60R10M,SR Converter,60V,10mΩ,PSR/SSR,5.5V,"9V, 4.3A",DCM/QR/CCM,SM-10
DK5V60R10VP,SR Converter,60V,10mΩ,PSR/SSR,5.1V,"9V, 4A",DCM/QR/CCM,SOP-8
DK5V60R15VP,SR Converter,60V,15mΩ,PSR/SSR,5.1V,"9V, 3A",DCM/QR/CCM,SOP-8
DK5V60R20HP,SR Converter,60V,20mΩ,PSR/SSR,5.1V,"9V, 2.4A",DCM/QR/CCM,SOP-8
DK5V60R25HP,SR Converter,60V,25mΩ,PSR/SSR,5.1V,"9V, 2.1A",DCM/QR/CCM,SOP-8
DK5V60R30HP,SR Converter,60V,30mΩ,PSR/SSR,5.1V,"9V, 1.5A",DCM/QR/CCM,SOP-8
DK5V60R10V,SR Converter,60V,10mΩ,PSR/SSR,5.1V,"9V, 4A",DCM/QR/CCM,SM-7 (兼容TO-277)
DK5V60R10S,SR Converter,60V,10mΩ,PSR/SSR,5.5V,"9V,4A",DCM/QR/CCM,SM-7 (兼容TO-277)
DK5V60R15V,SR Converter,60V,15mΩ,PSR/SSR,5.1V,"9V, 3A",DCM/QR/CCM,SM-7 (兼容TO-277)
DK5V60R15S,SR Converter,60V,15mΩ,PSR/SSR,5.5V,"9V, 3A",DCM/QR/CCM,SM-7 (兼容TO-277)
DK5V60R20H,SR Converter,60V,20mΩ,PSR/SSR,5.1V,"9V, 2.4A",DCM/QR/CCM,SM-7 (兼容TO-277)
DK5V60R20S,SR Converter,60V,20mΩ,PSR/SSR,5.5V,"9V,2.4A",DCM/QR/CCM,SM-7 (兼容TO-277)
