产品网址：http://www.jszhdz.net/page13?product_id=60
产品结构：root->出入口环保补光灯、收费站专用环保补光灯、停车场专用环保补光灯、小区环保补光灯

|产品名称|产品型号|功能描述|
|----|----|----|
|出入口环保补光灯|无|适用于停车场、小区、高速收费出入口等智能交通场景，通过摄像机信号触发闪光，使摄像机可以看清楚驾驶员面部特征。具有采用先进的稳压技术，精准控制爆闪输出电压；回电时间≤50MS，满足摄像机连闪抓拍；支持防干扰误触发功能，超过 5HZ 频率触发闪光信号则保护 30 秒，直到干扰信号消失之后 30 秒恢复正常；支持 RS485 调节爆闪输出电压，实现爆闪功率的增加和减少；支持爆闪次数统计功能；内置灯管散热结构，保证灯管寿命可达 1000 万次；支持 RS485 升级程序功能；IP66 防护等级；内置光栅防止光散等特点。|

型号,ZH-HB-T1148W
应用范围,出入口
防炫目,标配内置光栅
适用车道数,1  车道
信号触发,电平/开关量
RS485  接口,支持1路RS485，支持电脑或者摄像机控制
输入电压,AC 220V  ±20%
LED  芯片,CREE  灯珠
频闪频率,0-100HZ  （可选自动倍频或相机倍频）
频闪脉宽,支持0-40%占空比可调
LED  闪光功率,0-250W
闪光回电时间,气体≤50ms，LED≤20ms
功耗,＜15J
气体色温,5800K  ±200K
LED  色温,4000-4500K  （色温可定制）
闪光时间,300US  （软件可调）
闪光寿命,≥1000万次
工作温度,-40  °  ～  70  °
外壳颜色,白色
外壳材料,高品质铝、钢化玻璃
防护等级,IP66
尺寸,175*175*124.7mm
