产品网址：http://www.xindamao.com.cn/product/lists/type/2
产品结构：root->cycms

|产品名称|产品型号|功能描述|
|----|----|----|
|IGBT 单管|无|无|
|SiC MOSFET|无|无|
|VD MOSFET|无|无|
|SJ MOSFET|无|无|
|SGT MOSFET|无|无|
|PIM|无|无|
|IPM|无|无|

产品型号,VCE  (V),IC  (A),VCE(sat)  Tvj =25℃（V）,Package,下载
All  XD006H060CX1G3/R3/H3  XD015H060CX1L3/S3  XD020H065CX1H3  XD040H065AY1S3  XD040Q065AY1S3  XD050H065CX1S3  XD050Q065AY1S3  XD060Q065AY1S3  XD075C065CX1S3  XD075H065AT1S3  XD075Q065AY1S3  XD075H065CX1S3  XD075Q065CX1S3  XD075A065CX1S3  XD080H065AY1S3  XD005G120AY1G3  XD010H120AY1H3  XD015H120BM1S3  XD015H120CX1S3  XD015H120CX2S3  XD025H120CX1S3  XD025H120CX2S3  XD040H120AT1S3  XD040H120BM1S3  XD040Q120AT1S3  XD040Q120AY1S3  XD050H120CX1S4  XD015H120AY1S3  XD025H120BM1S3  XD025H120AY1S3  XD025H065AY1H3  XD050H120AY1S4  XD050H065A1S3-A  XD050H065A1S3-B  XD075H065A1S7-A  XD075H065A1S3-B  XD040H120A1S7-A  XD040H120A1S3-A  XD075H120A1S7-A  XD075H120A1S4-A  XD020H065CX1S3  XD025H065AY1R3  XD025H065AY1S3  XD030H065AY1S3  XD040H120AT2S3,All  600  650  1200  1350,All  6  15  20  30  40  50  75  100  25  60  80  5  10,All  1.4  1.43  1.55  1.65  1.75  1.6  1.8  1.85  1.95  2.0  2.3  2.35  2.47  1.98  2.1  1.76  2.4  1.9  1.73  1.7  2.25,All  TO-252-2/263/220F-3  TO-220/247-3  TO-220F-3  TO-247-3  TO-247Plus-3  TO-252-2  TO-247-3L  TO-247Plus-3内绝缘  TO-263-2,
XD006H060CX1G3/R3/H3,600,6,1.75,TO-252-2/263/220F-3,下载
XD015H060CX1L3/S3,600,15,1.8,TO-220/247-3,下载
XD020H065CX1H3,650,20,2.0,TO-220F-3,下载
XD040H065AY1S3,650,40,1.95,TO-247-3,下载
XD040Q065AY1S3,650,40,1.98,TO-247-3,下载
XD050H065CX1S3,650,50,1.55,TO-247-3,下载
XD050Q065AY1S3,650,50,1.98,TO-247-3,下载
XD060Q065AY1S3,650,60,1.98,TO-247-3,下载
XD075C065CX1S3,650,75,1.8,TO-247-3,下载
XD075H065AT1S3,650,75,1.55,TO-247-3,下载
XD075Q065AY1S3,650,75,1.65,TO-247-3,下载
XD075H065CX1S3,650,75,1.8,TO-247-3,下载
XD075Q065CX1S3,650,75,2.1,TO-247-3,下载
XD075A065CX1S3,650,75,1.8,TO-247-3,下载
XD080H065AY1S3,650,80,1.76,TO-247-3,下载
XD005G120AY1G3,1200,5,2.4,TO-252-2,下载
XD010H120AY1H3,1200,10,2.4,TO-220F-3,下载
XD015H120BM1S3,1200,15,1.8,TO-247-3,下载
XD015H120CX1S3,1200,15,2.0,TO-247-3,下载
XD015H120CX2S3,1200,15,1.8,TO-247-3,下载
XD025H120CX1S3,1200,25,2.0,TO-247-3,下载
XD025H120CX2S3,1200,25,1.8,TO-247-3,下载
XD040H120AT1S3,1200,40,1.6,TO-247-3,下载
XD040H120BM1S3,1200,40,1.8,TO-247-3,下载
XD040Q120AT1S3,1200,40,2.47,TO-247-3,下载
XD040Q120AY1S3,1200,40,1.98,TO-247-3,下载
XD050H120CX1S4,1200,50,1.85,TO-247Plus-3,下载
XD015H120AY1S3,1200,15,1.8,TO-247-3,下载
XD025H120BM1S3,1200,25,1.8,TO-247-3,下载
XD025H120AY1S3,1200,25,2.0,TO-247-3,下载
XD025H065AY1H3,650,25,1.75,TO-220F-3,下载
XD050H120AY1S4,1200,50,1.9,TO-247Plus-3,下载
XD050H065A1S3-A,650,50,1.73,TO-247-3L,下载
XD050H065A1S3-B,650,50,1.6,TO-247-3L,下载
XD075H065A1S7-A,650,75,1.8,TO-247Plus-3内绝缘,下载
XD075H065A1S3-B,650,75,1.8,TO-247-3,下载
XD040H120A1S7-A,1200,40,1.75,TO-247Plus-3内绝缘,下载
XD040H120A1S3-A,1200,40,1.7,TO-247-3,下载
XD075H120A1S7-A,1200,75,1.95,TO-247Plus-3内绝缘,下载
XD075H120A1S4-A,1200,75,1.95,TO-247Plus-3,下载
XD020H065CX1S3,650,20,2.0,TO-247-3,下载
XD025H065AY1R3,650,25,1.75,TO-263-2,下载
XD025H065AY1S3,650,25,1.75,TO-247-3,下载
XD030H065AY1S3,650,30,1.9,TO-247-3,下载
XD040H120AT2S3,1200,40,2.25,TO-247-3,下载
