产品网址：http://www.macmicst.com/index.php/product/product_info/20.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|IGBT 模块|无|无|

Type,V  CES  (V),I  C nom  (A),V  CE (sat)  (V),P  tot  (W),E  off  (mJ),R  thJC  (℃/W),Switches,Packages,PDF资料
ALL  MMG80C120BF_Y1  MMGT75WD120XT6C  MMG200H160UX2TC_W11  MMG35CB120X6TC  MMG450WE120B6TC  MMG600WB170B6E4N  MMG600WB120B6TC  MMG450WB120B6TC  MMG300WB120B6TC  MMG300D170B6TC  MMG200D170B6TC  MMG100WD120XT6TC  MMG75WD120XT6TC  MMG75W120XT6TC  MMG50W120XT6TC  MMG50HD120XT6TC  MMG40H120XT6TC  MMG35HD120XT6TC  MMG25HD120XT6TC  MMG25H120XT6TC  MMG150W120X6TC  MMG100W120X6TC  MMG75W120X6TC  MMG75H120X6TC  MMG50H120X6TC  MMG100WD120XB6TC  MMG50W120XB6TC  MMG25H120XB6TC  MMG450D120UA6TC  MMG400D120UA6TC  MMG300D120UA6TC  MMG200D120UA6TC  MMG200Q120UA6TC  MMG300B120DKA6TC  MMG300D120B6TC  MMG100J120U6TC  MMG300Q060B6TC  MMG200Q120B6TC  MMG50S120B6TC  MMG150J120UZ6TC  MMG100J120UZ6TC  MMG75J120UZ6TC  MMG50J120UZ6TC  MMG150S120UA6TC  MMG150S120B6TC  MMG100S120UA6TC  MMG75S120B6TC  MMG100S170B6TC  MMG200S060B6TC  MMG100S060B6TC  MMG75S060B6TC  MMG150D120B6TC  MMG400D120B6TC  MMG450D120B6TC  MMG15CB120X6TC  MMG10CB120X6TC  MMG15CB120XB6TC  MMG10CB120XB6TC  MMG200D120B6UC  MMG200D120B6TC  MMG100S120B6TC  MMG100J120UZ6TN  MMG75J120U6TN  MMG75J120UZ6TN  MMG150S120B6UC  MMG100S170B  MMG75J120U6TC  MMG150D170B6TC  MMG100D170B6TC  MMG75S170B6TC  MMG50S170B6TC  MMG400VB065X6TC  MMG75H060XB6EN  MMG150S060B6TC  MMG300D060B6TC  MMG300B065PD6TC  MMG150B065PD6TC  MMG150CE065PD6TC  MMG150D120B6UC  MMG100S120B6UC  MMG75S120B6UC  MMG50S120B6UC  MMG40S120B6UC  MMG75WD120XB6TC  MMG75W120XB6TC  MMG40H120XB6TC  MMG50HD120XB6TC  MMG35HD120XB6TC  MMG25HD120XB6TC  MMG600WB170B  MMG450WB170B  MMG300WB170B  MMG300D170B  MMG200D170B  MMG150D170B  MMG100D170B  MMG75S170B  MMG50S170B  MMG35CE120XB6TC  MMG25CE120XB6TC  MMG300D120B6UC  MMG400VB065X6EN  MMG300B065PD6EN  MMG200B065PD6EN  MMG150B065PD6EN  MMG400D060B6TC,ALL  1200  1700  600  650,ALL  80  75  100  35  450  600  300  200  50  40  25  150  400  15  10,ALL  1.90  1.85  1.80  1.95  2.15  2.20  1.75  1.65  1.55  2.25  1.70  2.00  2.30  2.05  1.45  2.70  2.65  2.40,ALL  277  440  515  214  2142  3750  3125  2305  1596  1760  1500  385  278  208  166  157  750  1973  1428  1071  882  384  681  600  330  250  789  130  107  450  348  1000  682  555  416  1200  441  335  937  405  300  230  2700  2000  1875  1363  535  395  176  1578  1250  856  428,ALL  1.80  6.3  8.0  3.03  36.0  180  58.0  45.0  26.3  90.0  52.0  9.10  5.70  7.00  4.10  4.00  3.20  3.30  2.40  2.20  13.3  6.20  42.4  24.8  16.4  16.9  29  8.80  10.0  3.60  14.4  6.40  4.40  13.0  8.1  5.9  22.5  2.15  12.4  1.12  0.69  12.3  7.3  24.0  34.0  25.0  17.0  12.0  14.6  5.0  10.7  11.2  4.9  5.1  9.6  2.0  3.35  4.2  215.0  150.0  94.00  93.00  56.00  41.00  18.50  9.80  2.10  23.5  14.30  11.50  7.10  5.15  12.6,ALL  0.54  0.34  0.29  0.60  0.07  0.04  0.048  0.065  0.094  0.085  0.10  0.39  0.72  0.90  0.95  0.20  0.076  0.105  0.14  0.17  0.22  0.25  0.45  0.19  1.05  1.25  0.28  0.36  0.15  0.27  0.125  0.40  0.16  0.37  0.50  0.65  0.055  0.075  0.08  0.11  0.38  0.75  0.095  0.12  0.175  0.35,ALL  BF  XT  UX  X  B  XB  UA  DKA  U  UZ  PD,ALL  GC  GWD  GH  GCB  GWE  GWB  GD  GW  GHD  GQ  GB  GJ  GS  GVB  GCE,
MMG80C120BF_Y1,1200,80,1.90,277,1.80,0.54,BF,GC,预览  下载
MMGT75WD120XT6C,1200,75,1.85,440,6.3,0.34,XT,GWD,预览  下载
MMG200H160UX2TC_W11,1200,100,1.80,515,8.0,0.29,UX,GH,预览  下载
MMG35CB120X6TC,1200,35,1.85,214,3.03,0.60,X,GCB,预览  下载
MMG450WE120B6TC,1200,450,1.85,2142,36.0,0.07,B,GWE,预览  下载
MMG600WB170B6E4N,1700,600,1.95,3750,180,0.04,B,GWB,预览  下载
MMG600WB120B6TC,1200,600,1.90,3125,58.0,0.048,B,GWB,预览  下载
MMG450WB120B6TC,1200,450,1.85,2305,45.0,0.065,B,GWB,预览  下载
MMG300WB120B6TC,1200,300,1.80,1596,26.3,0.094,B,GWB,预览  下载
MMG300D170B6TC,1700,300,2.15,1760,90.0,0.085,B,GD,预览  下载
MMG200D170B6TC,1700,200,2.20,1500,52.0,0.10,B,GD,预览  下载
MMG100WD120XT6TC,1200,100,1.80,515,9.10,0.29,XT,GWD,预览  下载
MMG75WD120XT6TC,1200,75,1.75,385,5.70,0.39,XT,GWD,预览  下载
MMG75W120XT6TC,1200,75,1.80,385,7.00,0.39,XT,GW,预览  下载
MMG50W120XT6TC,1200,50,1.80,278,4.10,0.54,XT,GW,预览  下载
MMG50HD120XT6TC,1200,50,1.85,278,4.00,0.54,XT,GHD,预览  下载
MMG40H120XT6TC,1200,40,1.85,208,3.20,0.72,XT,GH,预览  下载
MMG35HD120XT6TC,1200,35,1.85,208,3.30,0.72,XT,GHD,预览  下载
MMG25HD120XT6TC,1200,25,1.85,166,2.40,0.90,XT,GHD,预览  下载
MMG25H120XT6TC,1200,25,1.85,157,2.20,0.95,XT,GH,预览  下载
MMG150W120X6TC,1200,150,1.85,750,13.3,0.20,X,GW,预览  下载
MMG100W120X6TC,1200,100,1.80,515,9.10,0.29,X,GW,预览  下载
MMG75W120X6TC,1200,75,1.75,385,5.70,0.39,X,GW,预览  下载
MMG75H120X6TC,1200,75,1.80,385,6.20,0.39,X,GH,预览  下载
MMG50H120X6TC,1200,50,1.80,278,4.00,0.54,X,GH,预览  下载
MMG100WD120XB6TC,1200,100,1.80,515,9.10,0.29,XB,GWD,预览  下载
MMG50W120XB6TC,1200,50,1.80,278,4.10,0.54,XB,GW,预览  下载
MMG25H120XB6TC,1200,25,1.85,157,2.20,0.95,XB,GH,预览  下载
MMG450D120UA6TC,1200,450,1.85,2142,52,0.07,UA,GD,预览  下载
MMG400D120UA6TC,1200,400,1.85,1973,42.4,0.076,UA,GD,预览  下载
MMG300D120UA6TC,1200,300,1.85,1428,24.8,0.105,UA,GD,预览  下载
MMG200D120UA6TC,1200,200,1.80,1071,16.4,0.14,UA,GD,预览  下载
MMG200Q120UA6TC,1200,200,1.80,1071,16.9,0.14,UA,GQ,预览  下载
MMG300B120DKA6TC,1200,300,1.85,1428,29,0.105,DKA,GB,预览  下载
MMG300D120B6TC,1200,300,1.85,1428,24.8,0.105,B,GD,预览  下载
MMG100J120U6TC,1200,100,1.85,515,8.80,0.29,U,GJ,预览  下载
MMG300Q060B6TC,600,300,1.65,882,10.0,0.17,B,GQ,预览  下载
MMG200Q120B6TC,1200,200,1.80,1071,16.9,0.14,B,GQ,预览  下载
MMG50S120B6TC,1200,50,1.80,278,3.60,0.54,B,GS,预览  下载
MMG150J120UZ6TC,1200,150,1.85,750,14.4,0.20,UZ,GJ,预览  下载
MMG100J120UZ6TC,1200,100,1.85,515,9.10,0.29,UZ,GJ,预览  下载
MMG75J120UZ6TC,1200,75,1.85,384,6.40,0.39,UZ,GJ,预览  下载
MMG50J120UZ6TC,1200,50,1.85,278,4.40,0.54,UZ,GJ,预览  下载
MMG150S120UA6TC,1200,150,1.85,750,13.0,0.20,UA,GS,预览  下载
MMG150S120B6TC,1200,150,1.85,750,13.0,0.20,B,GS,预览  下载
MMG100S120UA6TC,1200,100,1.80,515,8.1,0.29,UA,GS,预览  下载
MMG75S120B6TC,1200,75,1.80,385,5.9,0.39,B,GS,预览  下载
MMG100S170B6TC,1700,100,2.15,681,22.5,0.22,B,GS,预览  下载
MMG200S060B6TC,600,200,1.55,600,5.7,0.25,B,GS,预览  下载
MMG100S060B6TC,600,100,1.55,330,2.15,0.45,B,GS,预览  下载
MMG75S060B6TC,600,75,1.55,250,2.15,0.60,B,GS,预览  下载
MMG150D120B6TC,1200,150,1.80,789,12.4,0.19,B,GD,预览  下载
MMG400D120B6TC,1200,400,1.85,1973,42.4,0.076,B,GD,预览  下载
MMG450D120B6TC,1200,450,1.85,2142,52.0,0.07,B,GD,预览  下载
MMG15CB120X6TC,1200,15,1.85,130,1.12,1.05,X,GCB,预览  下载
MMG10CB120X6TC,1200,10,1.85,107,0.69,1.25,X,GCB,预览  下载
MMG15CB120XB6TC,1200,15,1.85,130,1.12,1.05,XB,GCB,预览  下载
MMG10CB120XB6TC,1200,10,1.85,107,0.69,1.25,XB,GCB,预览  下载
MMG200D120B6UC,1200,200,2.25,1071,12.3,0.14,B,GD,预览  下载
MMG200D120B6TC,1200,200,1.80,1071,16.4,0.14,B,GD,预览  下载
MMG100S120B6TC,1200,100,1.80,515,8.1,0.29,B,GS,预览  下载
MMG100J120UZ6TN,1200,100,1.70,450,10.0,0.28,UZ,GJ,预览  下载
MMG75J120U6TN,1200,75,1.70,348,8.0,0.36,U,GJ,预览  下载
MMG75J120UZ6TN,1200,75,1.70,348,8.0,0.36,UZ,GJ,预览  下载
MMG150S120B6UC,1200,150,2.00,1000,7.3,0.15,B,GS,预览  下载
MMG100S170B,1700,100,2.30,682,24.0,0.22,B,GS,预览  下载
MMG75J120U6TC,1200,75,1.80,385,6.3,0.39,U,GJ,预览  下载
MMG150D170B6TC,1700,150,2.15,1071,34.0,0.14,B,GD,预览  下载
MMG100D170B6TC,1700,100,2.15,789,25.0,0.19,B,GD,预览  下载
MMG75S170B6TC,1700,75,2.15,555,17.0,0.27,B,GS,预览  下载
MMG50S170B6TC,1700,50,2.05,416,12.0,0.36,B,GS,预览  下载
MMG400VB065X6TC,650,400,1.55,1200,14.6,0.125,X,GVB,预览  下载
MMG75H060XB6EN,600,75,1.45,250,3.6,0.60,XB,GH,预览  下载
MMG150S060B6TC,600,150,1.65,441,5.0,0.34,B,GS,预览  下载
MMG300D060B6TC,600,300,1.55,882,10.7,0.17,B,GD,预览  下载
MMG300B065PD6TC,650,300,1.55,882,11.2,0.17,PD,GB,预览  下载
MMG150B065PD6TC,650,150,1.55,441,4.9,0.34,PD,GB,预览  下载
MMG150CE065PD6TC,650,150,1.65,335,5.1,0.40,PD,GCE,预览  下载
MMG150D120B6UC,1200,150,1.95,937,9.6,0.16,B,GD,预览  下载
MMG100S120B6UC,1200,100,2.20,555,5.0,0.27,B,GS,预览  下载
MMG75S120B6UC,1200,75,2.20,405,4.0,0.37,B,GS,预览  下载
MMG50S120B6UC,1200,50,2.20,300,2.2,0.50,B,GS,预览  下载
MMG40S120B6UC,1200,40,2.15,230,2.0,0.65,B,GS,预览  下载
MMG75WD120XB6TC,1200,75,1.85,385,6.2,0.39,XB,GWD,预览  下载
MMG75W120XB6TC,1200,75,1.85,385,6.2,0.39,XB,GW,预览  下载
MMG40H120XB6TC,1200,40,1.95,208,3.35,0.72,XB,GH,预览  下载
MMG50HD120XB6TC,1200,50,1.80,278,4.2,0.54,XB,GHD,预览  下载
MMG35HD120XB6TC,1200,35,1.85,208,3.30,0.72,XB,GHD,预览  下载
MMG25HD120XB6TC,1200,25,1.85,166,2.40,0.90,XB,GHD,预览  下载
MMG600WB170B,1700,600,2.70,3750,215.0,0.04,B,GWB,预览  下载
MMG450WB170B,1700,450,2.70,2700,150.0,0.055,B,GWB,预览  下载
MMG300WB170B,1700,300,2.65,2000,94.00,0.075,B,GWB,预览  下载
MMG300D170B,1700,300,2.30,1875,93.00,0.08,B,GD,预览  下载
MMG200D170B,1700,200,2.30,1363,56.00,0.11,B,GD,预览  下载
MMG150D170B,1700,150,2.30,1071,41.00,0.14,B,GD,预览  下载
MMG100D170B,1700,100,2.30,789,25.00,0.19,B,GD,预览  下载
