产品网址：http://www.macmicst.com/index.php/product/product_info/22.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|整流二极管模块|无|无|

Type,V  RRM  (V),I  F(AV)  (A),V  F  (V),I  FSM  (A),R  thJC  (℃/W),Packages,PDF资料
ALL  MMD200S160DK  MMD160S160DK  MMD110A160DK  MMD90A160DK  MMD60A160DK  MMD400S160U  MMD300S160U  MMD200S160U  MMD60A160U  MMD160AB160B  MMD130A180B  MMD130A160B  MMD110AB160B  MMD240S160B  MMD200S180B  MMD200S160B  MMD180S180B  MMD180S160B  MMD160S180B  MMD160S160B  MMD130S160B  MMD110A180B  MMD110A160B  MMD90A180B  MMD90A160B,ALL  1600  1800,ALL  200  160  110  90  60  400  300  130  240  180,ALL  1.5  1.6  1.1  1.25  1.15  1.4  1.45,ALL  6500  5500  2500  2000  1350  12000  9000  1600  5000  3500  2350  7350  6000,ALL  0.16  0.18  0.3  0.40  0.63  0.09  0.50  0.20  0.12,ALL  DS  DA  DAB,
MMD200S160DK,1600,200,1.5,6500,0.16,DS,预览  下载
MMD160S160DK,1600,160,1.5,5500,0.18,DS,预览  下载
MMD110A160DK,1600,110,1.6,2500,0.3,DA,预览  下载
MMD90A160DK,1600,90,1.6,2000,0.40,DA,预览  下载
MMD60A160DK,1600,60,1.5,1350,0.63,DA,预览  下载
MMD400S160U,1600,400,1.1,12000,0.09,DS,预览  下载
MMD300S160U,1600,300,1.25,9000,0.09,DS,预览  下载
MMD200S160U,1600,200,1.5,6500,0.16,DS,预览  下载
MMD60A160U,1600,60,1.15,1600,0.50,DA,预览  下载
MMD160AB160B,1600,160,1.5,5000,0.18,DAB,预览  下载
MMD130A180B,1800,130,1.5,3500,0.20,DA,预览  下载
MMD130A160B,1600,130,1.5,3500,0.20,DA,预览  下载
MMD110AB160B,1600,110,1.4,2350,0.30,DAB,预览  下载
MMD240S160B,1600,240,1.45,7350,0.12,DS,预览  下载
MMD200S180B,1800,200,1.5,6500,0.16,DS,预览  下载
MMD200S160B,1600,200,1.50,6500,0.16,DS,预览  下载
MMD180S180B,1800,180,1.5,6000,0.18,DS,预览  下载
MMD180S160B,1600,180,1.5,6000,0.18,DS,预览  下载
MMD160S180B,1800,160,1.5,5500,0.18,DS,预览  下载
MMD160S160B,1600,160,1.50,5500,0.18,DS,预览  下载
MMD130S160B,1600,130,1.5,3500,0.20,DS,预览  下载
MMD110A180B,1800,110,1.6,2500,0.30,DA,预览  下载
MMD110A160B,1600,110,1.6,2500,0.30,DA,预览  下载
MMD90A180B,1800,90,1.6,2000,0.40,DA,预览  下载
MMD90A160B,1600,90,1.6,2000,0.40,DA,预览  下载
