产品网址：http://www.macmicst.com/index.php/product/product_info/17.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|IGBT 分立器件|无|无|

Type,V  CES  (V),I  C nom  (A),V  CE (sat)  (V),P  tot  (W),E  off  (mJ),R  thJC  (℃/W),Packages,PDF资料
ALL  MM75G5T65B  MM75G5U65BKX  MM75G5U65BX  MM40G3U65BN  MM120G3T65BM  MM50G3U120BMX  MM50G3T120BM  MM75G3T65B  MM10G3T120B  MM20G3T135B  MM60G3U65B  MM75G5U120BM  MM40G3U120BX  MM20G3R135B  MM40G3T120B  MM25G3T120B  MM15G3T120B  MM40G3U120B  MM25G3U120BX  MM40G3U65B,ALL  650  1200  1350,ALL  75  40  120  50  10  20  60  25  15,ALL  1.50  1.65  1.75  1.60  1.95  1.80  1.45  1.85  1.55  1.70  1.90  2.15,ALL  385  230  750  535  125  268  300  395  333  200  326,ALL  2.30  1.35  1.15  0.85  5.1  2.40  3.90  2.9  0.65  1.3  1.1  3.50  2.0  1.4  4.2  1.12  1.00,ALL  0.39  0.65  0.20  0.28  0.24  1.2  0.56  0.50  0.38  0.45  0.35  0.75  0.46,ALL  TO-247  TO-247-4L  TO-247Plus,
MM75G5T65B,650,75,1.50,385,2.30,0.39,TO-247,预览  下载
MM75G5U65BKX,650,75,1.65,385,1.35,0.39,TO-247-4L,预览  下载
MM75G5U65BX,650,75,1.65,385,1.15,0.39,TO-247,预览  下载
MM40G3U65BN,650,40,1.75,230,0.85,0.65,TO-247,预览  下载
MM120G3T65BM,650,120,1.60,750,5.1,0.20,TO-247Plus,预览  下载
MM50G3U120BMX,1200,50,1.95,535,2.40,0.28,TO-247Plus,预览  下载
MM50G3T120BM,1200,50,1.80,535,3.90,0.28,TO-247Plus,预览  下载
MM75G3T65B,650,75,1.45,535,2.9,0.24,TO-247,预览  下载
MM10G3T120B,1200,10,1.85,125,0.65,1.2,TO-247,预览  下载
MM20G3T135B,1350,20,1.65,268,1.3,0.56,TO-247,预览  下载
MM60G3U65B,650,60,1.55,300,1.1,0.50,TO-247,预览  下载
MM75G5U120BM,1200,75,1.70,535,3.50,0.28,TO-247Plus,预览  下载
MM40G3U120BX,1200,40,1.90,395,2.0,0.38,TO-247,预览  下载
MM20G3R135B,1350,20,1.60,333,1.4,0.45,TO-247,预览  下载
MM40G3T120B,1200,40,1.90,395,4.2,0.35,TO-247,预览  下载
MM25G3T120B,1200,25,1.80,385,2.4,0.39,TO-247,预览  下载
MM15G3T120B,1200,15,1.85,200,1.12,0.75,TO-247,预览  下载
MM40G3U120B,1200,40,1.90,395,2.0,0.38,TO-247,预览  下载
MM25G3U120BX,1200,25,2.15,326,1.00,0.46,TO-247,预览  下载
MM40G3U65B,650,40,1.75,230,0.65,0.65,TO-247,预览  下载
