产品网址：http://www.macmicst.com/index.php/product/product_info/16.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|MOSFET 分立器件|无|无|

Type,V  DSS  (V),I  D  (A),P  D  (W),R  DS(ON)  (mΩ),Packages,PDF资料
ALL  MM4115S  MM4115K  MM4110S  MM4110K  MM4310S  MM4310K  MM4410S  MM4410K  MM3N150PF,ALL  150  100  1500,ALL  115  151  99  2.5,ALL  375  312  197  63,ALL  9.3  4.5  7.0  6000,ALL  TO-263  TO-220  TO-3PF,
MM4115S,150,115,375,9.3,TO-263,预览  下载
MM4115K,150,115,375,9.3,TO-220,预览  下载
MM4110S,100,151,312,4.5,TO-263,预览  下载
MM4110K,100,151,312,4.5,TO-220,预览  下载
MM4310S,100,151,312,4.5,TO-263,预览  下载
MM4310K,100,151,312,4.5,TO-220,预览  下载
MM4410S,100,99,197,7.0,TO-263,预览  下载
MM4410K,100,99,197,7.0,TO-220,预览  下载
MM3N150PF,1500,2.5,63,6000,TO-3PF,预览  下载
