产品网址：http://www.golden-chip.com/product.aspx?classid=400
产品结构：您当前的位置：首页->产品中心->通用型磁传感系列

|产品名称|产品型号|功能描述|
|--|--|--|
|微功耗型霍尔|无|内部采用休眠机制降低功率，平均功耗可以达到 uA 极。具有低功耗、灵敏度高、抗干扰能力强的典型特性。典型应用包括智能三表、智能门锁、智能开关控制、空气净化器等小家电、扫地机器人、TWS 耳机充电仓|

产品型号,磁开关点,封装形式,工作温度范围,工作电压范围,输出电流,规格书下载
GH1248,±30/±20GS,TO-92S/SOT-23-3L,-40℃~85℃,1.8~5.5VDC,5.0~20mA,规格书下载
GH1250,±30/±20GS,TO-92S/SOT-23-3L,-40℃~85℃,1.8~5.5VDC,5.0~20mA,规格书下载
GH1271,+40/+30GS,TO-92S/SOT-23-3L/DFN1010-3,-40℃~85℃,1.5~5.5VDC,2.5~10mA,规格书下载
GH1104,+50/+250GS,TO-92S/SOT23-3L/SOT23/SOT-89B,-40℃~150℃,3.8~30.0VDC,4.0~10.0mA,规格书下载
GH143F,+160/+110GS,TO-92S,-40℃~150℃,3.8~30.0VDC,4.0~10.0mA,规格书下载
GH1132,+20/+200GS,TO-92S,-40℃~150℃,3.8~30.0VDC,5.5~10.0mA,规格书下载
GH1210,±45/±30GS,TO-92S/SOT-23-3L,-40℃~150℃,2.8~24.0VDC,2.0~5.0mA,规格书下载
GH1230,±30/±20GS,T0-92S/SOT23-3L,-40℃~150℃,2.8~24.0VDC,2.0~5.0mA,规格书下载
GH3144,+20/+240GS,TO-92S,-40℃~85℃,3.8~30.0VDC,3.0~8.0mA,规格书下载
GH1220,+120/+90GS,T0-92S/SOT23-3L/SOT23,-40℃~125℃,2.8~24.0VDC,2.0~5.0mA,规格书下载
GH1881,±25GS,TO-92S/SOT-23-3L,-40℃~125℃,3.2~24.0VDC,2.3~4.5mA,规格书下载
GH1511A,±90GS,SOT-89B,-40℃~150℃,3.8~30.0VDC,3.5~9.0mA,规格书下载
GH1512,±60GS,TO-92S,-30℃~150℃,2.5~30.0VDC,4.0~6.0mA,规格书下载
GH177,±100GS,TO-92S,-40℃~125℃,3.5~24.0VDC,3.2~7.5mA,规格书下载
GH141F028,±120GS,TO-92S,-40℃~150℃,3.8~30.0VDC,3.5~9.0mA,规格书下载
GH41HA,±190GS,TO-92S,-40℃~150℃,3.8~30.0VDC,3.5~9.0mA,规格书下载
GH1187,±100GS,TO-92S,-40℃~150℃,3.8~30.0VDC,3.2~7.5mA,规格书下载
GH1122,±25GS,TO-92S,-40℃~125℃,3.0~24.0VDC,2.0~5.0mA,规格书下载
GH1120,±30GS,SIP-3L(TO-92S)/SC59(SOT23-3L),-40℃~125℃,3.5~24.0VDC,2.0~5.0mA,规格书下载
GH1713,±45GS,TO-92S,-40℃~150℃,3.8~70.0VDC,2.5~4.5mA,规格书下载
