产品网址：https://unicorecomm.com
产品结构：root->和芯星通北斗导航芯片-北斗导航模块北斗高精度定位板卡国内外领先的芯片、OEM板卡和产品解决方案提供商

|产品名称|产品型号|功能描述|
|--|--|--|
|GNSS SoC 芯片|NebulasⅣ UC9810|无|
|模块|UM980|无|
|模块|UM982|无|
|模块|UM960|无|
|模块|UM981|无|
|模块|UT986|无|
|模块|UM680A|无|
|模块|UM681A|无|
|模块|UM670A|无|
|板卡|UB9A0|无|
|板卡|UB4B0|无|
|GNSS SoC 芯片|UFirebirdII UC6580|无|
|模块|UM621A|无|
|模块|UM621|无|
|模块|UM620A|无|
|模块|UM620|无|
|GNSS SoC 芯片|UFirebird UC6226|无|
|模块|UM220-INS NL|无|
|模块|UM220-INS NF|无|
|模块|UM220-IV NV|无|
|模块|UM220-IV NL|无|
|模块|UM220-IV M0|无|
|模块|UM220-IV L|无|
|芯片|UCD9810|无|
|模块|UMD980|无|
|模块|UMD220-IV NL|无|
|套件|HPL EVK 5.0 KIT|无|
|套件|UM980eb|无|
|套件|UM981eb|无|
|套件|UM982eb|无|
|套件|UM960eb|无|
|套件|UT986eb|无|
|套件|UC6226NIS EVK Suite|无|
|套件|UC6580 EVK Suite|无|
|套件|UM620 Series EVK Suite|无|
|套件|UM621 Series EVK Suite|无|
|套件|UM220-IV N EVK Suite|无|
|套件|UM220-INS N EVK Suite|无|
|套件|UM220-IV M EVK Suite|无|
|软件|UPRECISE|无|
