产品网址：https://www.axera-tech.com/Product/126.html
产品结构：首页->产品中心->AX630C

|产品名称|产品型号|功能描述|
|--|--|--|
|智能驾驶芯片|爱芯元速——M55H|无|
|智能驾驶芯片|爱芯元速——M76H|无|
|智能驾驶芯片|xADEP|自动驾驶工程化平台|
|智能黑光视觉芯片|AX620A|无|
|智能黑光视觉芯片|AX620U|无|
|智能黑光视觉芯片|AX650A|无|
|智能黑光视觉芯片|AX650N|无|
|智能黑光视觉芯片|AX630C|12.8T 混合精度算力、4K 黑光、低功耗视觉处理处理器。产品亮点：黑光 AI-ISP、低功耗、双摄、支持驱屏|
|智能黑光视觉芯片|AX620Q|无|
|智能视觉芯片|XS7320|无|
|智能视觉芯片|XS7310|无|
|轻智能视觉芯片|XS7312Q|无|
|轻智能视觉芯片|XS7302|无|
|同轴高清 TX|XS5018A|无|
|同轴高清 TX|XS5018B|无|
|同轴高清 TX|XS5032|无|
|同轴高清 TX|XS5021C|无|
|同轴高清 RX|XS9931B|无|
|同轴高清 RX|XS9922A|无|
|同轴高清 RX|XS9922B|无|
|同轴高清 RX|XS9950|无|
|数模混合|XS2180|无|
|数模混合|XS2184|无|
|数模混合|XS2186|无|
|数模混合|XS2100S|无|
|数模混合|XS2103S/D|无|
|数模混合|XS2105S|无|
|数模混合|XS2108|无|
|数模混合|XS2120|无|
|数模混合|XS2121|无|
|数模混合|XS2123|无|

CPU,双核A53,NPU,12.8Tops @int4，3.2Tops @int8
ISP,4K @30fps,编解码格式,"H.264,H.265"
视频编码,4K,视频解码,"1080p @60fps, H.264 only"
Ethernet,支持单路RGMII / RMII接口模式的以太网，内置百兆ePHY,视频输出,支持MIPI DSI
