产品网址：https://www.yes-lcd.com/product/259.html
产品结构：root->YTS240DLBH-01-100C_YesOptoelectronics（Group）Co.,Ltd.

|产品名称|产品型号|功能描述|
|----|----|----|
|YTS240DLBH-01-100C|无|无|

No  .,Item,Contents,Unit
1,Display  Size,2.4,Inch
2,Resolution,240RGB*320,
3,Viewing Direction,6:00,
4,TFT Outline Dimension,42.72*60.26*4.95,mm
5,Panel AA,36.72*48.96,mm
6,Module  Color,262,K
7,Luminance,190,cd/m  2
8,Module Interface,Parallel,
9,Operating temperature,-20  ℃  ~70  ℃,℃
1  0,Storage temperature,-30  ℃  ~80  ℃,℃
