产品网址：https://www.yes-lcd.com/product/252.html?productCateId=75
产品结构：root->YTS700TLBC-02-100C_YesOptoelectronics（Group）Co.,Ltd.

|产品名称|产品型号|功能描述|
|----|----|----|
|YTS700TLBC-02-100C|YTS700TLBC-02-100C|无|

No  .,Item,Contents,Unit
1,TFT.NO.(YES),YTS700TLBC-02-100C,
2,Display  Size,7.0,Inch
3,Resolution,1024RGB*600,
4,Viewing Direction,ALL,
5,TFT Outline Dimension,181.08*112.92*5.625,mm
6,Panel AA,154.21*85.92,mm
7,Module  Color,16.7,M
8,Luminance,780,cd/m  2
9,Module Interface,"LVDS, 6/8 bit",
10,Operating temperature,-20-60,℃
11,Storage temperature,-30-80,℃
