产品网址：https://www.yes-lcd.com/product/254.html
产品结构：root->YTS130HLAA-01-100N_YesOptoelectronics（Group）Co.,Ltd.

|产品名称|产品型号|功能描述|
|----|----|----|
|YTS130HLAA-01-100N|YTS130HLAA-01-100N|无|

No  .,Item,Contents,Unit
1,Display  Size,1.3,Inch
2,Resolution,320RGB*320,
3,Viewing Direction,ALL,
4,TFT Outline Dimension,36.12*38.85*1.49,mm
5,Panel AA,33.12*33.12,mm
6,Module  Color,图纸上无,M
7,Luminance,360,cd/m  2
8,Module Interface,MIPI,
9,Operating temperature,-20  ℃  ~70  ℃,℃
1  0,Storage temperature,-20  ℃  ~80  ℃,℃
