产品网址：https://www.yes-lcd.com/product/237.html?productCateId=75
产品结构：root->TFTStandardList_YesOptoelectronics（Group）Co.,Ltd.

|产品名称|产品型号|功能描述|
|----|----|----|
|TFT|无|无|

TFT Standard List,TFT Standard List.1,TFT Standard List.2,TFT Standard List.3,TFT Standard List.4,TFT Standard List.5,TFT Standard List.6,TFT Standard List.7,TFT Standard List.8,TFT Standard List.9
TFT.NO.(YES),Display Size,Resolution,View Direction,TFT Outline Dimension(Without TP),Panel AA,Module Color,Luminance  （  TFT without TP  ）,Module Interface,Operating/Storage temperature
YTS096LAB-02-100N,0.96“,80*160,"ALL,IPS",13.8*28*1.9,10.8*21.696,262K,400nit,4-SPI,-97.66666667
YTS130HLAA-01-100N,1.3“,320*320,ALL,36.12*38.85*1.49,33.12*33.12,,360nit,MIPI,-96.5
"YTS154LAA-01-100N,C","1.54""",240*240,"ALL,IPS",31.52*33.72*1.54,27.72*27.72,262K,400nit,SPI+RGB,-97.66666667
YTS177BLAU-01-100N,1.77“,128*160,6H,34*47*2.6,28.032*35.04,262K,220nit,MCU,-113
YTS200DLAF-01-100N,"2.0""",240*320,"ALL,IPS",35.6*48.7*2.47,30.6*40.8,262K,530nit,MCU,-97.66666667
"YTS240DLBH-01-100N,C","2.4""",240*320,6H,42.72*60.26*3.3,36.72*48.96,262K,220nit,MCU,-112.3333333
"YTS240DLBR-01-100N,C","2.4""",240*320,"ALL,IPS",42.72*60.26*3.3,36.72*48.96,262K,350nit,MCU,-97.66666667
YTS247KLAA-01-100C,2.47,480*480,FREE,88.00*88.00*5.9,62.64*62.64,16.7M,350nit,MIPI,-78
"YTS280DLAV-01-100N,T,200C",2.8“,240*320,6H,50.0*69.2*2.7,43.2*57.6,262K,300nit,MCU,-113
"YTS280DLAY-01-100N,C",2.8“,240*320,"ALL,IPS",50.0*69.2*2.75,43.2*57.6,262K,210nit,MCU,-97.66666667
"YTS350ELAK-01-401N,T,501C","3.5""",320*240,12H,76.9*63.9*3.3,70.08*52.56,16M,500nit,RGB,-97.66666667
"YTS350ELAX-01-100N,C","3.5""",320*240,"ALL,IPS",76.9*63.9*3.3,70.08*52.56,16.7M,400nit,RGB,-107.3333333
"YTS350HLAF-01-100N,C","3.5""",320*480,6H,55.26*84.69*2.5,48.96*73.44,16M,340nit,MIPI,-97.66666667
YTS350HLAL-01-100N,"3.5""",320*480,"ALL,IPS",63.33*84.71*2.33,48.96*73.44,262K,250nit,RGB,-77
YTS397KLAA-01-100N,"3.97""",480*800,"ALL,IPS",57.54*97.25*2.4,51.84*86.4,16.7,310nit,RGB,-97.66666667
YTS430ILAV-01-100N,"4.3""",480*272,ALL  ，  IPS,105.5*67.2*3.0,95.04*53.86,16.7M,(500nit),RGB,-97.66666667
YTS430RLAA-01-200N,"4.3""",800*480,"ALL,IPS",105.4*67.1*3.17,95.04*53.86,16M,950nit,RGB,-97.66666667
YTS430ILBB-01-100N,"4.3""",480*272,ALL,105.5*67.2*2.97,95.04*53.856,16.7M,600nit,RGB,-97.66666667
YTS500RLAW-02-100C,"5.0""",800*480,FREE,133*89.8*8.35,108*64.8,16M,1000nit,RGB,-117.875
"YTS500RLBA-01-100N,C","5.0""",800*480,"ALL,IPS",118.5*77.55*3.2,108.0*64.8,16M,380nit,RGB  （  40pin  ）,-97.66666667
"YTS500XLAI-01-100N,C","5.0""",720*1280,"ALL,IPS",72.03*143.98*3.6,68.04*120.96,16M,300nit,MIPI,-77
YTS570MLAA-01-100N,5.7“,640*480,6H,127*98.43*5.8,115.20 x 86.40,16M,800nit,RGB,-97.66666667
"YTS700RLBK-01-100N,C","7.0""",800*480,12H,164.9*100*5.94,154.08*85.92,16M,1100nit,RGB,-112.3333333
"YTS700RLBJ-03-100N,C,T","7.0""",800*480,12H,164.9*100.0*3.5,154.08*85.92,16.7M,400nit,RGB,-87.66666667
"YTS700RLBF-02-100N,C","7.0""",800*480,"ALL,IPS",170*106.3*6.65,152.4*91.44,16M,900nit,RGB,-112.1666667
YTS700TLAV-01-100N,"7.0""",1024*600,12H,165.75*105.39*2.45,153.6*90,16M,250nit,LVDS,-88
"YTS700TLAT-01-100N,C","7.0""",1024*600,"ALL,IPS",164.9*100*3.4,154.214*85.92,16.7M,900nit,LVDS,-98
"YTS800WLAC-01-100N,C",8.0”,800*1280,"ALL,IPS",114.6*184.1*2.58,107.64*172.22,16M,300nit,MIPI,-67.5
"YTSA10WLAH-01-100N,C",10.1“,1280*800,"ALL,IPS",229.46*149.1*2.5,216.96*135.6,16M,300nit,LVDS,0-50/-20-60
YTSA10WLAI-02-100C,10.1“,1280*800,"ALL,IPS",258*176.6*10.5,216.96*135.6,16M,1000nit,LVDS,-98
"YTSC10VLAB-01-100N,C",12.1“,1024*768,ALL,260.5*204.6*6.4,245.76*184.32,262K/16M,350nit,LVDS,-97.66666667
"YTSE00VLAA-01-100N,200C",15.0”,1024*768,6H,326.5*253.5*12,304.128*228.096,16M,420nit,LVDS,-97.66666667
