产品网址：http://www.szyxsc.com/?product_18
产品结构：root->EPCOS电容-深圳市友芯电子商务有限公司-电解电容器薄膜电容器超级电容器

|产品名称|产品型号|功能描述|
|--|--|--|
|EPCOS 薄膜电容器|MKV 0.1UF 1400Vac B25835-M0104-K007|电力电容|
|EPCOS 薄膜电容器|B32362-A3307-J030 330vac~900v 300uF ±5 j031|无|
|EPCOS 薄膜电容器|B32344D4302A000 MKP400-D-30 400V 3*199UF|无|
|EPCOS 薄膜电容器|B25666W7167A375 MKP850-D-38 850V 3*55.8UF|无|
|EPCOS 薄膜电容器|B25620-B1507-K101 -55°...+70° 1100v500uF|无|
|EPCOS 薄膜电容|B25620-B1337-J101 B25620-S1337-J101 1100v330uF|无|
|EPCOS 铝电解电容器|B43647S5108M2 450v1000uF|优势供应 B43647 系列|
|EPCOS 电解电容|B43647-A5567-M057 450V560uF|优势供应 B43647 系列|
|EPCOS 铝电解电容器|B43570-S4478-Q10 350v4700uF|优势供应 B43570 系列|
|EPCOS 铝电解电容|B43564-S9658-M1 400v6500uF|优势供应 B43564 系列|
|EPCOS 铝电解电容器|B43310-A9478-M 400V4700UF|优势现货 B43310|
