产品网址：http://www.szyxsc.com/?product_2_3
产品结构：root->产品中心-深圳市友芯电子商务有限公司-电解电容器薄膜电容器超级电容器

|产品名称|产品型号|功能描述|
|----|----|----|
|KEMET 电解电容|ALS30A682NP400N 400V6800uf|无|
|Jianghai 江海 铝电解电容|CD294 450v100uF|无|
|EPCOS 铝电解电容器|B43647S5108M2 450v1000uF|优势供应 B43647 系列|
|EPCOS 电解电容|B43647-A5567-M057 450V560uF|优势供应 B43647 系列|
|EPCOS 铝电解电容器|B43570-S4478-Q10 350v4700uF|优势供应 B43570 系列|
|EPCOS 铝电解电容|B43564-S9658-M1 400v6500uF|优势供应 B43564 系列|
|EPCOS 铝电解电容器|B43310-A9478-M 400V4700UF|优势现货 B43310|
|EPCOS 铝电解电容|B43310-A5478-M 450v4700uF|优势供应 B43310 系列|
|薄膜电容|B32776S7655K501 EPCOS|无|
|EPCOS 螺栓型铝电解电容器|B43310-A9688-M 400v6800uF|B43310 系列|
|德国 EPCOS 全新电容器|B32365B2197J515 2150v195uf|无|
|薄膜电容器|EPCOS 电子电力电容器 B32344D4282A040 440v3*154.0uF|无|
