产品网址：http://www.weihong.com.cn/en/products
产品结构：root->Products_weihong

|产品名称|产品型号|功能描述|
|--|--|--|
|CNC Controller Motion Card PM95A|PM95A|无|
|Integrated CNC Controller NK300CX|NK300CX|无|
|Integrated CNC Controller NK280 Series|NK280 Series|无|
|CNC Controller PC System NC65C|NC65C|无|
|CNC Controller DSP NK105 G2/G3|NK105 G2/G3|无|
|CNC Controller PC System NC68A|NC68A|无|
|CNC Controller PC System NC60A|NC60A|无|
|RC Robot Arm Series Controller|无|无|
|CCD Camera|无|无|
|Laser Cutting Head|无|无|
|WISE B1 Series Servo Driver|WISE B1 Series|无|
|Mini Multi-Axis Servo Drive|无|无|
|WISE Spindle Drive (WSDS)|WSDS|无|
|Manual Pulse Generator Handwheel|无|无|
|Automatic Measurement Tool Sensor|无|无|
|Waterjet Five-axis Cutting Head|无|无|
