产品网址：https://www.myrntec.com/en/portable_energy_storage/21.html
产品结构：root->CriusR9_PortableEnergyStorage_Products_AnhuiRuinengTechnologyCo.,Ltd.

|产品名称|产品型号|功能描述|
|--|--|--|
|Power Pack|RN-2421、RN-1221、RN-48104、RN-24208、LFP-280Ah|无|
|Portable Energy Storage|Crius R6、Crius R8、Crius R9|17 Micro off-grid, high-capacity portable power station|
|Residential Energy Storage|“Rui Cube”RESS-Y、“Rui Cube”RESS、“Rui Optipower”|无|
|Industrial Commercial Energy Storage|“Rui Mega Cube”RIES|无|
|Grid-side Energy Storage|“Rui Giga Cube”RGES series (liquid-cooled)、“Rui Giga Cube”RGES series (air-cooled)、“Giga Cube”RGES series（30 foot）、“Giga Cube”RGES series（40 foot）|无|

Battery type,Battery type.1,Lithium iron phosphate battery cell
Battery capacity,Battery capacity,3840Wh
Cycle life,Cycle life,≥3500 times(@25℃)
Operation temperature,Operation temperature,-10℃~40℃
Rated output power,Rated output power,"100V-120V;3300W,220V-240V;3600W"
Inverter,Inverter,Sinusoidal wave
Output,USB-A Output,(QC3.018W)*2
Output,Type-C 1Output,(PD20W)*3
Output,Type-C2 Output,(PD100W)X1Included PD3.0 protocol
Output,DC5521 Output,12V/3A*2
Output,XT60 Output,12V/25A
Output,Vehicle charging Output,12V/10A
Enclosure,ABS+PC,ABS+PC
Net weight,40.7kg,40.7kg
Size (L*W*H),550*321*464mm,550*321*464mm
