产品网址：https://www.myrntec.com/dldcpack/27.html
产品结构：root->国标电动轻型两轮车PACK_动力电池PACK系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|国标电动轻型两轮车 PACK|无|锂电池动力系统应用于共享、换电等 48V 平台二轮电动车，匹配自研保护板并搭载 Tracker 模块具备实时定位功能。采用高寿命、高安全的磷酸铁锂电芯；采用内、外壳双层设计，防护等级高；整包体积小，重量轻，功耗低；OTA、动态监测、故障预警、云遥控；通过 UN38.3、CQC、GB/T 36972 等相关认证，满足新国标要求。|

序号,项目,规格
1,标称电压（V）,51.2
2,标称容量（Ah）,21
3,串并联方式,1P16S
4,标称电量（kWh）,1.075
5,额定充电电流（A）,10.5
6,最大放电电流（A）,21
7,电压工作范围（V）,32～58.4
8,重量（kg）,≤9.2
9,包络尺寸（mm）,184×156×300
10,工作温度范围,充电：0～55℃  放电：-30～55℃
11,采集方案,CCS
12,电池系统防护等级,IP67
13,循环寿命（次）,1200
14,工作海拔高度（m）,4000
