产品网址：https://www.njsme.com/?aPRODUCTSCipsWafersHalfBridge/95.html
产品结构：root->Diodes-HalfBridge-1200-HalfBridge-南京银茂微电子制造有限公司-

|产品名称|产品型号|功能描述|
|--|--|--|
|Diodes-Half Bridge|1200|无|

VRRM=1200V,VRRM=1200V.1,VRRM=1200V.2,VRRM=1200V.3,VRRM=1200V.4,VRRM=1200V.5
Part Number,Voltage(V),Current(A),Technology,Comments,Links
DD100HF120A9H,1200,100,High Voltage Planar Diode,fast recovery,
DD150HF120A9H,1200,150,High Voltage Planar Diode,fast recovery,
DD200HF120A9H,1200,200,High Voltage Planar Diode,fast recovery,
,,,,,
,,,,,
VRRM=1200V,VRRM=1200V,VRRM=1200V,VRRM=1200V,VRRM=1200V,VRRM=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
DD100HF120T1WH,1200,100,High Voltage Planar Diode,fast recovery,
DD150HF120T1WH,1200,150,High Voltage Planar Diode,fast recovery,
DD200HF120T1WH,1200,200,High Voltage Planar Diode,fast recovery,
,,,,,
